int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
208130011,-1,3,"enemy_001L",20,20,60,"r_h0813_0010_0010",,
208130021,-1,3,"enemy_002L",20,20,60,"r_h0813_0010_0020",,
208130031,-1,3,"enemy_003M",20,20,60,"r_h0813_0010_0030",,
208130041,-1,3,"enemy_004M",20,20,60,"r_h0813_0010_0040",,
208130051,-1,3,"enemy_005L",20,20,60,"r_h0813_0010_0050",,
208130061,-1,3,"enemy_006M",20,20,60,"r_h0813_0010_0060",,
208130071,-1,3,"enemy_007L",20,20,60,"r_h0813_0010_0070",,
208130081,-1,3,"enemy_008M",20,20,60,"r_h0813_0010_0080",,
208130091,-1,3,"enemy_009L",20,20,60,"r_h0813_0010_0090",,
208130101,-1,3,"enemy_010L",20,20,60,"r_h0813_0010_0100",,
208130111,-1,3,"enemy_011L",20,20,60,"r_h0813_0010_0110",,
208130121,-1,3,"enemy_012M",20,20,60,"r_h0813_0010_0120",,
208130131,-1,3,"enemy_013M",20,20,60,"r_h0813_0010_0130",,
208130141,-1,3,"enemy_014L",20,20,60,"r_h0813_0010_0140",,
