int 0,string2 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,float 11,float 12,float 13,float 14,float 15
10,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
1010,"minimap_t0101","_1",1,1,2,0,0,-1,-1,-1,140,0,0,60,75
1020,"minimap_t0102","_1",1,1,2,0,0,-1,-1,-1,110,0,-80,0,75
1030,"minimap_t0103","_1",1,1,2,0,0,-1,-1,-1,140,0,-180,40,75
1031,"minimap_t0103","_1",1,1,2,0,0,-1,-1,-1,140,0,-200,0,75
1032,"minimap_t0103","_2",1,1,2,0,0,-1,-1,-1,140,0,-200,0,75
1040,"minimap_t0104","_1",1,1,2,0,0,-1,-1,-1,140,-90,0,0,75
1050,"minimap_t0105","_1",1,2,2,1,0,-1,-1,-1,110,180,0,0,75
1060,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
1070,"minimap_t0107","_1",1,1,2,0,0,-1,-1,-1,140,0,100,0,75
1080,"minimap_t0108","_1",1,1,2,0,0,-1,-1,-1,80,115,-100,100,75
1090,"minimap_t0109","_1",1,1,2,0,0,-1,-1,-1,90,0,0,0,75
1100,"minimap_t0110","_1",1,1,2,0,0,-1,-1,-1,200,90,70,-50,75
1110,"minimap_t0111","_1",1,1,2,0,0,-1,-1,-1,170,0,0,0,75
1210,"minimap_t0121","_1",1,1,2,0,0,-1,-1,-1,140,0,0,0,75
1310,"minimap_t0101","_1",1,1,2,0,0,-1,-1,-1,140,0,0,60,75
1320,"minimap_t0102","_1",1,1,2,0,0,-1,-1,-1,110,0,-80,0,75
1330,"minimap_t0103","_1",1,1,2,0,0,-1,-1,-1,140,0,-180,40,75
1360,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
1380,"minimap_t0108","_1",1,1,2,0,0,-1,-1,-1,80,115,-100,100,75
1390,"minimap_t0109","_1",1,1,2,0,0,-1,-1,-1,90,0,0,0,75
1730,"","",0,0,0,0,0,-1,-1,-1,140,0,0,0,75
