int 0,int 1,empty 2,int 3,string2 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,bool 25,bool 26,bool 27,bool 28,bool 29,bool 30,bool 31,bool 32,bool 33,bool 34,bool 35,bool 36,bool 37,int 38,int 39,int 40,int 41,empty 42
1,1,"",1,"",1,0,0,0,0,0,0,0,0,0,0,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,""
2,2,"",1,"01_05",22,0,1,0,0,0,0,0,0,0,15,8,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,""
3,3,"",1,"02_09",22,0,2,0,0,0,0,0,0,0,30,8,-1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,""
4,4,"",1,"02_07",22,0,3,0,0,0,0,0,0,0,45,8,-1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,""
5,5,"",1,"01_03",5,0,2,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,""
6,6,"",1,"03_13",11,0,3,0,0,0,0,0,0,0,30,12,-1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,""
7,7,"",1,"03_11",12,0,4,0,0,0,0,0,0,0,50,20,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,""
8,8,"",1,"01_01",17,0,1,0,0,0,0,0,0,0,15,8,-1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,""
9,9,"",1,"01_02",17,0,8,0,0,0,0,0,0,0,30,8,-1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,""
10,10,"",1,"02_01",10,0,8,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,""
11,11,"",1,"02_02",21,0,8,0,0,0,0,0,0,0,40,8,-1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,""
12,12,"",1,"02_03",11,0,9,0,0,0,0,0,0,0,90,16,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,""
13,13,"",1,"02_04",17,0,12,0,0,0,0,0,0,0,45,8,-1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,""
14,14,"",1,"04_03",6,1,4,13,0,0,0,0,0,0,100,8,-1,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,""
15,15,"",1,"01_07",19,0,1,0,0,0,0,0,0,0,15,8,-1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,""
16,16,"",1,"01_11",9,0,15,0,0,0,0,0,0,0,30,10,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,""
17,17,"",1,"02_18",11,0,16,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,""
18,10,"",1,"02_11",10,0,15,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,""
19,5,"",1,"02_13",5,0,18,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,""
20,20,"",1,"03_15",19,0,18,0,0,0,0,0,0,0,30,8,-1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,""
21,21,"",1,"03_17",12,0,20,0,0,0,0,0,0,0,50,18,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,""
22,22,"",1,"03_19",19,0,21,0,0,0,0,0,0,0,45,8,-1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,""
23,23,"",1,"01_09",16,0,1,0,0,0,0,0,0,0,10,8,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,""
24,24,"",1,"01_10",11,0,23,0,0,0,0,0,0,0,50,11,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,""
25,25,"",1,"02_16",16,0,23,0,0,0,0,0,0,0,20,8,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,""
26,26,"",1,"02_17",11,0,25,0,0,0,0,0,0,0,70,15,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,""
27,27,"",1,"03_24",16,0,26,0,0,0,0,0,0,0,30,8,-1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,""
28,28,"",1,"03_27",6,1,22,27,0,0,0,0,0,0,100,8,-1,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,""
29,29,"",1,"02_15",21,0,23,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,""
30,30,"",1,"02_14",11,0,29,0,0,0,0,0,0,0,80,14,-1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,""
31,31,"",1,"01_06",18,0,1,0,0,0,0,0,0,0,10,8,-1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,""
32,32,"",1,"02_10",18,0,31,0,0,0,0,0,0,0,20,8,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,""
33,5,"",1,"02_12",5,0,32,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,""
34,10,"",1,"01_08",10,0,33,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,""
35,35,"",1,"03_16",12,0,33,0,0,0,0,0,0,0,50,17,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,""
36,36,"",1,"04_10",18,0,35,0,0,0,0,0,0,0,30,8,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,""
37,37,"",1,"04_14",6,1,27,36,0,0,0,0,0,0,100,8,-1,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,""
38,38,"",1,"01_04",20,0,1,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,""
39,39,"",1,"01_00",9,0,38,0,0,0,0,0,0,0,10,9,-1,5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,""
40,40,"",1,"02_08",20,0,38,0,0,0,0,0,0,0,40,8,-1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,""
41,41,"",1,"02_06",21,0,40,0,0,0,0,0,0,0,60,8,-1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,""
42,5,"",1,"02_00",5,0,41,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,""
43,43,"",1,"03_12",20,0,40,0,0,0,0,0,0,0,60,8,-1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,""
44,44,"",1,"04_06",6,1,36,43,0,0,0,0,0,0,100,8,-1,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,""
45,45,"",1,"03_10",12,0,43,0,0,0,0,0,0,0,50,19,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,""
46,10,"",1,"03_08",10,0,45,0,0,0,0,0,0,0,40,13,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,""
51,51,"",2,"",2,0,0,0,0,0,0,0,0,0,0,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,""
52,52,"",2,"01_05",21,0,51,0,0,0,0,0,0,0,10,8,-1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,""
53,53,"",2,"02_09",21,0,52,0,0,0,0,0,0,0,20,8,-1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,""
54,54,"",2,"01_03",5,0,52,0,0,0,0,0,0,0,20,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,""
