int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
20101,"","mob017010101",0,0,"","","fn01","",0,0,1,1,1,-6.780404,0.036861,37.458603,49.291145,0,0,1,1,8,10,0,-1,"","",""
20102,"","mob011010101",0,0,"","","e516","",0,0,1,2,2,-6.283532,0.054332,-2.064816,-120.729164,0,0,1,1,8,10,0,-1,"","",""
20103,"","mob015010101",0,0,"","","fn02","",0,0,1,3,3,6.252982,0.054332,-39.38458,114.921585,0,0,1,1,8,10,0,-1,"","",""
20104,"","mob003010101",0,0,"","","fn01","",0,0,1,4,4,5.998544,0.045592,19.145725,-53.99827,0,0,1,1,6,10,0,-1,"","",""
20105,"","mob012010101",0,0,"","","fn02","",0,0,1,5,5,9.530226,0.054332,-20.847153,124.12685,0,0,1,1,8,10,0,-1,"","",""
20106,"","mob015010101",0,0,"","","fn07","",0,0,1,6,6,71.13314,0.05103,-97.61458,183.29659,0,0,1,1,8,10,0,-1,"","",""
20107,"","mob001010101",0,0,"","","fn01","",0,0,1,7,7,21.914724,0.054337,-64.90622,-7.868666,0,0,1,1,8,10,0,-1,"","",""
20108,"","mob014010101",0,0,"","","fn01","",0,0,1,8,8,41.321415,-0.101706,-99.80025,228.08437,0,0,1,1,8,10,0,-1,"","",""
20109,"","mob005010101",0,0,"","","fn10","",0,0,2,9,9,14.999532,0.054337,-67.65729,-52.300373,0,0,1,1,6,10,0,-1,"","",""
20110,"","mob017010101",0,0,"","","fn01","",0,0,2,10,10,-0.100007,0,9.563031,0,0,0,1,1,6,10,0,-1,"","",""
20111,"","mob017010101",0,0,"","","fn01","",0,0,2,11,11,7.841331,0.054332,-47.97872,246.00414,0,0,1,1,6,10,0,-1,"","",""
