string2 0,string2 1
"additional_action","battle"
"battle_announcement","battle"
"battle_buff","battle"
"battle_calculate","battle"
"battle_camera","battle"
"battle_collabo_skill","battle"
"battle_direction_setting","battle"
"battle_effect","battle"
"battle_enemy","battle"
"battle_field_level","battle"
"battle_formation","battle"
"battle_map","battle"
"battle_motion","battle"
"battle_player_ai","battle"
"battle_skill","battle"
"battle_trail","battle"
"battle_voice","battle"
"cross_arts","battle"
"digimon_growth","battle"
"digimon_status","battle"
"evolution","battle"
"generation","battle"
"gift_point","battle"
"guest_aegiomon","battle"
"guest_status","battle"
"healing","battle"
"personality","battle"
"battle_personality_ai","battle"
"personality_skill","battle"
"personality_category","battle"
"tamerrank","battle"
"aim_pattern","designer"
"aim_setup","designer"
"effect_belong_motion","designer"
"fix_front_of_joint","designer"
"anim_setting","designer"
"model_default_effect","designer"
"model_define","designer"
"model_dissolve","designer"
"model_setting","designer"
"model_outline","designer"
"union_model","designer"
"lod","designer"
"lod_chara","designer"
"mobility","designer"
"bone_physics_para","designer"
"phantom_shader_setting","designer"
"digitter",""
"quest_main","event"
"quest_sub","event"
"map_guide_route","event"
"model_attach_para","event"
"talk_auto_disp_time","event"
"event_float_message_para","event"
"speaker_model_link","event"
"prev_load_motion","event"
"time_travel","event"
"evolution_direction","event"
"talking_motion","event"
"endroll","event"
"char_info","event"
"field_analyze","field"
"field_anime","field"
"field_common","field"
"field_digimon_chat","field"
"field_map","field"
"field_map_define","field"
"field_treasure","field"
"field_item_table","field"
"field_effect_script_collision","field"
"field_expression","field"
"field_object_break_effect","field"
"field_object_flag","field"
"field_hazama_gate_flag","field"
"field_card_game","field"
"field_walk_setting","field"
"digistar","field"
"hex_digistar_common","hex_digistar"
"hex_digistar_goods","hex_digistar"
"hex_digistar_food","hex_digistar"
"hex_digistar_training","hex_digistar"
"hex_digistar_production","hex_digistar"
"flag_list","flag"
"card","card"
"card_info","card"
"card_npc","card"
"card_define","card"
"item","item"
"item_pack","item"
"shop","item"
"develop","item"
"decomposition","item"
"help_window","ui"
"field_log_para","ui"
"multi_select_window","ui"
"tutorial_window","ui"
"yes_no_window","ui"
"explanation_define","ui"
"tamer_skill","ui"
"ui_define","ui"
"worldmap","ui"
"minimap_marker_help","ui"
"key_help_para","ui"
"arena","ui"
"difficulty","ui"
"end_credits","ui"
"bgm_setting","ui"
"common_message_format","ui"
"newgame_plus","system"
"model_costume_change","system"
"player_model","system"
"system_define","system"
"unique_flag","system"
"system_format","system"
"system_time_travel","system"
"dlc_info","system"
"battle_union_model_face","auto"
"model_locator","auto"
"field_npc_d0101","field"
"field_npc_d0102","field"
"field_npc_d0103","field"
"field_npc_d0104","field"
"field_npc_d0105","field"
"field_npc_d0106","field"
"field_npc_d0107","field"
"field_npc_d0108","field"
"field_npc_d0109","field"
"field_npc_d0201","field"
"field_npc_d0202","field"
"field_npc_d0203","field"
"field_npc_d0204","field"
"field_npc_d0205","field"
"field_npc_d0206","field"
"field_npc_d0207","field"
"field_npc_d0208","field"
"field_npc_d0209","field"
"field_npc_d0210","field"
"field_npc_d0211","field"
"field_npc_d0212","field"
"field_npc_d0213","field"
"field_npc_d0215","field"
"field_npc_d0216","field"
"field_npc_d0217","field"
"field_npc_d0301","field"
"field_npc_d0302","field"
"field_npc_d0303","field"
"field_npc_d0304","field"
"field_npc_d0305","field"
"field_npc_d0306","field"
"field_npc_d0308","field"
"field_npc_d0401","field"
"field_npc_d0402","field"
"field_npc_d0403","field"
"field_npc_d0404","field"
"field_npc_d0405","field"
"field_npc_d0406","field"
"field_npc_d0407","field"
"field_npc_d0501","field"
"field_npc_d0502","field"
"field_npc_d0503","field"
"field_npc_d0504","field"
"field_npc_d0505","field"
"field_npc_d0506","field"
"field_npc_d0507","field"
"field_npc_d0508","field"
"field_npc_d0509","field"
"field_npc_d0513","field"
"field_npc_d0550","field"
"field_npc_d0551","field"
"field_npc_d0552","field"
"field_npc_d0601","field"
"field_npc_d0602","field"
"field_npc_d0603","field"
"field_npc_d0604","field"
"field_npc_d0605","field"
"field_npc_d0606","field"
"field_npc_d0607","field"
"field_npc_d0608","field"
"field_npc_d0701","field"
"field_npc_d0702","field"
"field_npc_d0703","field"
"field_npc_d0801","field"
"field_npc_d0802","field"
"field_npc_d0900","field"
"field_npc_d0901","field"
"field_npc_d0902","field"
"field_npc_d0903","field"
"field_npc_d0904","field"
"field_npc_d0905","field"
"field_npc_d0906","field"
"field_npc_d0907","field"
