int 0,string2 1,float 2,float 3,float 4,float 5,float 6,int 7,int 8,float 9,float 10,float 11,float 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int 22,int 23,int 24,int 25,string2 26,string2 27,int 28
10204001,"1",3,160,360,1,1,34,2,0,1.5,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204100,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204101,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204102,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204103,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204104,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204105,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204106,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204107,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204108,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204109,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204110,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204111,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204112,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204113,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204114,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204115,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204116,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204117,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204118,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204119,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204120,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204121,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204122,"0",0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204400,"400",2,260,360,1,1,34,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
10204450,"450",2,360,360,2,2,27,2,0,1.2,-0.5,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
