int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
10203001,50,"s080_060_001","","","chr002",0,0,"","","bn01","",0,0,"F01",0,0,1.623,-0.019,-0.147,-35.714,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,-1,-1,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203002,51,"s200_148_001","","","chr050",0,0,"","","bn01","",0,0,"F01",0,0,-1.899,-0.019,0.06,17.434,0,0,1,1,3,160,360,1,1,1,1,0.6,1.2,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203003,51,"s200_148_002","","","chr092",0,0,"","","bn01","",0,0,"F01",0,0,-0.733,0.017,0.084,-19.368,0,0,1,1,0,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203004,53,"s200_148_003","","","chr096",0,0,"","","fe03","",0,0,"F01",0,0,0.845,0.003,-7.936,0,0,0,1,1,2,160,360,1,1,1,0,0,0,0,-1,-1,0,-1,0,0,1,"fe03",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203005,53,"s200_148_004","","","chr348",0,0,"","","e570","",0,0,"F01",0,0,-4.271,-0.019,-0.029,70,0,0,1,1,2,160,360,1,1,1,0,0,0,0,-1,-1,0,-1,0,0,1,"e570",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203006,54,"s200_148_005","","","chr096",0,0,"","","fe03","",0,0,"F01",0,0,0.845,0.003,-7.936,0,0,0,0,0,0,160,360,1,1,0,1,0,1,0,-1,-1,0,-1,0,0,1,"fe03",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203007,55,"s200_148_006","","","chr348",0,0,"","","e570","",0,0,"F01",0,0,-4.271,-0.019,-0.029,70,0,0,0,0,0,160,360,1,1,0,1,0,1,0,-1,-1,0,-1,0,0,1,"e570",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203008,56,"s200_148_aigio_01","","","chr183ta010101",0,0,"","","fn01_01","",0,0,"F01",0,0,-0.088,0.005,-7.703,72.72,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fn01_01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203009,57,"s200_148_inori_01","","","npc001ua010101",0,0,"","","fn01_01","",0,0,"F01",0,0,-4.059,-0.019,1.277,155.131,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fn01_01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203010,58,"terriermon_assistant","500","","chr999",0,0,"","","e613","",0,0,"F01",0,0,3.313,0.446,1.76,5.934,0,0,1,1,2.3,160,200,1,1,1,1,0,0.6,0,-1,2,-1,-1,0,0,0,"bn01",0,"F01",0,0,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203011,59,"chumon_01","","","chr020",0,0,"","","fq01","",0,0,"F01",0,0,3.711,0.408,3.118,-133.782,0,0,0.7,0,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fq01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203012,59,"chumon_02","","","chr020",0,0,"","","bn01","",0,0,"F01",0,0,4.41,0.009,2.363,-94.883,0,0,0.7,0,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
10203013,59,"chumon_03","","","chr020",0,0,"","","fn02_01","",0,0,"F01",0,0,2.649,0.412,3.25,-520.282,0,0,0.7,0,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fn02_01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
