int 0,int 1,empty 2,empty 3,empty 4,int 5,int 6,int 7,int 8,empty 9
2039101,20391,"","","",0,10,20393,-1,""
2039102,20391,"","","",0,10,20394,-1,""
2044301,20443,"","","",0,10,20441,-1,""
2044302,20443,"","","",0,10,20442,-1,""
2178601,21786,"","","",1,2,21782,-1,""
2178602,21786,"","","",1,0,21783,-1,""
2178603,21786,"","","",1,1,21784,-1,""
2178604,21786,"","","",1,3,21789,-1,""
2178605,21786,"","","",1,4,21788,-1,""
2178606,21786,"","","",1,5,21787,-1,""
2737501,27375,"","","",0,10,27372,2,""
2737502,27375,"","","",0,10,27373,3,""
2737503,27375,"","","",0,10,27374,4,""
4399301,43993,"","","",0,100,43992,-1,""
