int 0,int 1,empty 2,int 3,float 4,float 5,float 6,int 7,empty 8,float 9
1,0,"",3,0.7,30,0.75,10012,"",1
30011,0,"",3,0.7,30,0.75,30902,"",1
30012,0,"",3,0.7,30,0.75,30902,"",1
30013,0,"",3,0.7,30,0.75,30902,"",1
30021,0,"",3,0.7,30,0.75,30902,"",1
30022,0,"",3,0.7,30,0.75,30902,"",1
30023,0,"",3,0.7,30,0.75,30902,"",1
30031,0,"",3,0.7,30,0.75,30902,"",1
30032,0,"",3,0.7,30,0.75,30902,"",1
30033,0,"",3,0.7,30,0.75,30902,"",1
30034,0,"",3,0.7,30,0.75,30902,"",1
30035,0,"",3,0.7,30,0.75,30902,"",1
30036,0,"",3,0.7,30,0.75,30902,"",1
30041,0,"",3,0.7,30,0.75,30905,"",1
30042,0,"",3,0.7,30,0.75,30905,"",1
30043,0,"",3,0.7,30,0.75,30905,"",1
30051,0,"",3,0.7,30,0.75,30905,"",1
30052,0,"",3,0.7,30,0.75,30905,"",1
30053,0,"",3,0.7,30,0.75,30905,"",1
30061,0,"",3,0.7,30,0.75,30905,"",1
30062,0,"",3,0.7,30,0.75,30905,"",1
30063,0,"",3,0.7,30,0.75,30905,"",1
30064,0,"",3,0.7,30,0.75,30905,"",1
30065,0,"",3,0.7,30,0.75,30905,"",1
30066,0,"",3,0.7,30,0.75,30905,"",1
30071,0,"",3,0.7,30,0.75,30904,"",1
30072,0,"",3,0.7,30,0.75,30904,"",1
30073,0,"",3,0.7,30,0.75,30904,"",1
30081,0,"",3,0.7,30,0.75,30904,"",1
30082,0,"",3,0.7,30,0.75,30904,"",1
30083,0,"",3,0.7,30,0.75,30904,"",1
30091,0,"",3,0.7,30,0.75,30904,"",1
30092,0,"",3,0.7,30,0.75,30904,"",1
30093,0,"",3,0.7,30,0.75,30904,"",1
30094,0,"",3,0.7,30,0.75,30904,"",1
30095,0,"",3,0.7,30,0.75,30904,"",1
30096,0,"",3,0.7,30,0.75,30904,"",1
30101,0,"",3,0.7,30,0.75,30903,"",1
30102,0,"",3,0.7,30,0.75,30903,"",1
30103,0,"",3,0.7,30,0.75,30903,"",1
30111,0,"",3,0.7,30,0.75,30903,"",1
30112,0,"",3,0.7,30,0.75,30903,"",1
30113,0,"",3,0.7,30,0.75,30903,"",1
30121,0,"",3,0.7,30,0.75,30903,"",1
30122,0,"",3,0.7,30,0.75,30903,"",1
30123,0,"",3,0.7,30,0.75,30903,"",1
30124,0,"",3,0.7,30,0.75,30903,"",1
30125,0,"",3,0.7,30,0.75,30903,"",1
30126,0,"",3,0.7,30,0.75,30903,"",1
