int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
11102100,"",2,"change_0001",1,"ef_f_mov_121_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
11102101,"",-1,"obj_0001",0,"d11door00",1,0,"","","","","",0,0,"",0,0,0,0,0
11102102,"",-1,"obj_0002",0,"d11door00",1,0,"","","","","",0,0,"",0,0,0,0,0
11102103,"",6,"obj_1001",1,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
11102104,"",3,"obj_1002",1,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
11102105,"",3,"obj_1003",1,"ef_f_com_110_it",1,0,"","","","","",0,0,"",0,0,0,0,0
11102106,"",5,"obj_2000",0,"d11drum01",1,0,"","","","","",0,0,"",0,0,0,0,0
11102107,"",5,"obj_2001",0,"d1102waste00",1,0,"","","","","",0,0,"",0,0,0,0,0
11102108,"",5,"obj_2002",0,"d11drum02",1,0,"","","","","",0,0,"",0,0,0,0,0
11102109,"",5,"obj_2003",0,"d11drum01",1,0,"","","","","",0,0,"",0,0,0,0,0
11102110,"",5,"obj_2004",0,"d11drum03",1,0,"","","","","",0,0,"",0,0,0,0,0
11102400,"",4,"theater_0001",0,"f00theaterdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
11102401,"",4,"start_50",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
