int 0,string2 1,float 2,float 3,float 4,float 5,float 6,int 7,int 8,float 9,float 10,float 11,float 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,string2 21,int 22,int 23,int 24,int 25,string2 26,string2 27,int 28
11102100,"100",2,360,360,1,1,27,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102101,"101",0,0,0,1,1,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102102,"102",3,180,360,1,1,0,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102103,"103",10,180,360,1,1,2,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102104,"104",3,180,360,1,1,0,2,0,1.3,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102105,"105",3,180,360,1,1,2,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102106,"106",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102107,"107",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102108,"108",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102109,"109",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102110,"110",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102400,"400",2,180,360,1,1,8,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102401,"401",0,0,0,1,1,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
11102402,"402",2,360,360,1,1,27,2,0,1.3,0,-1,10,-1,0,0,0,0,0,0,"",0,0,-1,0,"","",-1
