int32 0,int32 1,int32 2,int32 3,string2 4,int32 5,int32 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,float 15,float 16,float 17,int32 18,float 19,float 20,float 21,float 22,string2 23,string2 24,string2 25,float 26,float 27,string2 28,float 29,int32 30,string2 31,float 32,float 33,float 34,int32 35,float 36,float 37,float 38,float 39,float 40,float 41,int32 42,int32 43,int32 44,float 45,float 46,float 47,float 48,string2 49,string2 50,float 51,int32 52,string3 53,float 54,float 55,float 56,int32 57,float 58,float 59,float 60,float 61,float 62,float 63,int32 64,int32 65,int32 66,float 67,float 68,float 69,float 70,string2 71,bool 72,bool 73,bool 74,bool 75,bool 76,bool 77,bool 78,int32 79,float 80,int32 81,float 82,float 83,string2 84,int32 85,float 86,int32 87,float 88,float 89,float 90,string2 91,int32 92,float 93,int32 94,float 95,string2 96,float 97,float 98,float 99,float 100,string2 101,string2 102,string2 103
2022101,6001011,0,1,"",0,0,"","","","","","",-54.13,22,-0.401,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022102,6001011,0,1,"",0,0,"","","","","","",-34.53,21.999,-2.439,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022103,6001011,0,1,"",0,0,"","","","","","",-44.747,22,8.569,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022104,6001011,0,1,"",0,0,"","","","","","",-37.058,22,17.525,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022105,6001011,0,1,"",0,0,"","","","","","",-54.978,22,18.102,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022106,6001012,0,1,"",0,0,"","","","","","",-9.305,29.999,-16.625,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022107,6001012,0,1,"",0,0,"","","","","","",-9.915,29.999,-36.628,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022108,6001012,0,1,"",0,0,"","","","","","",12.175,29.999,-36.707,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022109,6001012,0,1,"",0,0,"","","","","","",10.826,29.999,-16.029,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022110,6001012,0,1,"",0,0,"","","","","","",0.028,29.999,-26.705,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022111,6001013,0,1,"",0,0,"","","","","","",34.521,38,-1.604,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022112,6001013,0,1,"",0,0,"","","","","","",57.711,38,-2.974,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022113,6001013,0,1,"",0,0,"","","","","","",56.447,38,19.641,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022114,6001013,0,1,"",0,0,"","","","","","",34.608,38,19.737,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
2022115,6001013,0,1,"",0,0,"","","","","","",44.957,38,10.101,0,1,1,-1,-1,-1,-1,"","bn01","",0,0,"ba01",6,1,"",0,30,-1,0,0,360,10,2,2,150,0,0,0,270,10,5,5,"","",5,1,"",0,30,-1,0,0,360,10,5,5,150,0,0,0,360,10,5,5,"",false,true,false,true,false,true,false,0,0,0,4,4,"",0,3,3,8,15,4,"",0,3,0,5,"",0,0,0,-1,"","",""
