int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1020011,1,5,"",-1,-1,10,"r_t0102_0010_0010",,
1020021,2,5,"",-1,-1,10,"r_t0102_0010_0020",,
1020031,3,5,"",-1,-1,10,"r_t0102_0010_0030",,
1020041,4,5,"",-1,-1,10,"r_t0102_0010_0040",,
1020051,5,5,"",-1,-1,10,"r_t0102_0010_0050",,
1020061,6,5,"",-1,-1,10,"r_t0102_0010_0060",,
1020071,7,5,"",-1,-1,10,"r_t0102_0010_0070",,
1020081,8,5,"",-1,-1,10,"r_t0102_0010_0080",,
1020091,9,5,"",-1,-1,10,"r_t0102_0010_0090",,
1020101,10,5,"",-1,-1,10,"r_t0102_0010_0100",,
1020111,11,5,"",-1,-1,10,"r_t0102_0010_0110",,
1020121,12,5,"",-1,-1,10,"r_t0102_0010_0120",,
1020131,13,5,"",-1,-1,10,"r_t0102_0010_0130",,
1020141,14,5,"",-1,-1,10,"r_t0102_0010_0140",,
1020151,15,5,"",-1,-1,10,"r_t0102_0010_0150",,
1020161,16,5,"",-1,-1,10,"r_t0102_0010_0160",,
1020171,17,5,"",-1,-1,10,"r_t0102_0010_0170",,
1020181,18,5,"",-1,-1,10,"r_t0102_0010_0180",,
1020191,19,5,"",-1,-1,10,"r_t0102_0010_0190",,
1020201,20,5,"",-1,-1,10,"r_t0102_0010_0200",,
1020211,21,5,"",-1,-1,10,"r_t0102_0010_0210",,
1020221,22,5,"",-1,-1,10,"r_t0102_0010_0220",,
1020231,23,5,"",-1,-1,10,"r_t0102_0010_0230",,
1020241,24,5,"",-1,-1,10,"r_t0102_0010_0240",,
1020251,25,5,"",-1,-1,10,"r_t0102_0010_0250",,
1020261,26,5,"",-1,-1,10,"r_t0102_0010_0260",,
1020271,-1,0,"rumor_001",10,10,10,"r_t0102_0010_0270",,
1020281,-1,0,"rumor_002",10,10,10,"r_t0102_0010_0280",,
1020291,-1,0,"rumor_003",10,10,10,"r_t0102_0010_0290",,
1020301,-1,0,"rumor_004",10,10,10,"r_t0102_0010_0300",,
1020311,-1,0,"rumor_005",10,10,10,"r_t0102_0010_0310",,
1020321,-1,0,"rumor_006",10,10,10,"r_t0102_0010_0320",,
1020331,-1,0,"rumor_007",10,10,10,"r_t0102_0010_0330",,
1020341,-1,0,"rumor_008",10,10,10,"r_t0102_0010_0340",,
1020351,-1,0,"rumor_009",10,10,10,"r_t0102_0010_0350",,
1020361,-1,0,"rumor_010",10,10,10,"r_t0102_0010_0360",,
