int32 0,int32 1,string2 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11
3,3,"Cam_bt_command_PC03_Boss13",4,25,0,0,2,0,0,-1,0
5,6,"Cam_bt_TPS_select01",2,15,0,0,2,1,2,-1,0
13,13,"Cam_bt_all_EM01_Boss13",1,0,0,0,0,0,0,-1,0
16,16,"Cam_bt_all_EM01_Boss13",1,0,0,0,0,0,0,-1,0
24,23,"Cam_bt_single_EM02_Boss13",2,27,2,0,0,0,2,-1,0
23,22,"Cam_bt_single_PC01_Boss13",2,19,0,0,0,0,2,36,0
25,24,"Cam_bt_single_EM02_Boss13",2,27,2,0,0,0,2,67,0
27,26,"Cam_bt_damage_EM02_Boss13",1,0,0,0,0,0,0,-1,0
28,27,"Cam_bt_damage_PC01_Boss13",3,19,0,0,0,0,0,-1,0
30,29,"Cam_bt_damage_EM02_Boss13",1,0,0,0,2,0,0,65,0
32,31,"Cam_bt_damage_EM02_Boss13",1,0,0,0,0,0,0,-1,0
69,68,"Cam_bt_all_EM01_Boss13",1,0,0,0,0,0,0,-1,0
70,69,"Cam_bt_scan01_Boss13",3,17,0,0,2,0,2,-1,0
71,70,"Cam_bt_change01",1,0,0,0,0,0,0,-1,0
72,71,"Cam_bt_change_bb04",1,0,0,0,0,0,0,-1,0
