int 0,int 1,string2 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11
1,1,"Cam_bt_in01_Boss04",1,0,0,0,0,0,0,-1,1
2,2,"Cam_bt_command_PC_Boss04",4,0,0,0,2,0,0,-1,1
3,3,"Cam_bt_command_PC_Boss04",4,0,0,0,2,0,0,-1,1
13,13,"Cam_bt_single_EM01_Boss04",1,0,0,0,2,0,0,-1,1
16,16,"Cam_bt_all_EM01_boss04",1,0,0,0,2,0,0,-1,1
17,17,"Cam_bt_command02_PC_Boss04",1,0,0,0,2,0,0,-1,1
21,20,"Cam_bt_command02_PC_Boss04",1,0,0,0,2,0,0,-1,1
22,21,"Cam_bt_command02_PC_Boss04",1,0,0,0,2,0,0,-1,1
24,23,"Cam_bt_single_EM01_Boss04",1,0,0,0,2,0,0,-1,1
25,24,"Cam_bt_single_EM01_Boss04",1,0,0,0,2,0,0,-1,1
26,25,"Cam_bt_damage_PC01",3,19,3,0,0,0,2,-1,0
27,26,"Cam_bt_single_EM01_Boss04",1,0,0,0,2,0,0,-1,1
32,31,"Cam_bt_single_EM01_Boss04",1,0,0,0,2,0,0,-1,1
28,27,"Cam_bt_damage_PC01_Boss04",3,19,3,0,0,0,2,-1,1
29,28,"Cam_bt_damage_EM01_Boss04",1,0,0,0,0,0,0,-1,1
30,29,"Cam_bt_damage_EM01_Boss04",1,0,0,0,0,0,0,65,0
69,68,"Cam_bt_all_EM01_boss04",1,0,0,0,2,0,0,-1,0
70,69,"Cam_bt_scan01_boss04",1,0,0,0,2,0,0,-1,0
