int32 0,int32 1,int32 2,int32 3
1,1,3,0
2,1,2,15
3,2,2,15
4,13,3,3
5,3,13,3
6,3,5,0
7,5,3,0
8,5,13,0
9,13,5,0
10,5,16,0
11,16,5,0
12,5,12,0
13,12,5,0
14,5,15,0
15,15,5,0
16,5,17,0
17,17,5,0
18,3,6,6
19,6,3,5
20,6,13,5
21,13,6,5
22,6,16,5
23,16,6,5
24,6,12,5
25,12,6,5
26,6,15,5
27,15,6,5
28,6,17,5
29,17,6,5
30,18,3,0
31,20,3,0
32,21,3,0
33,22,3,0
34,2,3,5
35,2,21,10
36,2,22,10
37,13,12,5
38,12,13,5
39,16,15,5
40,15,16,5
41,16,16,5
42,15,15,5
43,13,13,5
44,12,12,5
45,14,5,0
46,14,13,5
47,14,12,5
48,14,16,5
49,14,15,5
50,14,17,5
51,5,14,0
52,13,14,5
53,12,14,5
54,16,14,5
55,15,14,5
56,17,14,5
57,3,7,0
58,7,3,5
59,12,7,0
60,7,12,0
61,3,8,6
62,8,3,5
63,3,9,0
64,9,3,0
65,9,9,5
66,3,38,14
67,38,3,5
68,13,18,17
69,13,19,17
70,3,69,0
71,69,70,10
72,70,69,10
73,13,7,0
74,7,13,0
