int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,empty 7,empty 8,empty 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,empty 16,empty 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,empty 26,empty 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,empty 35,empty 36,int32 37,int32 38,int32 39,empty 40,empty 41
1,4,-1,-1,-1,-1,1,,,,18,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,2,,
2,4,-1,-1,-1,-1,2,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,336,1,,
3,4,-1,-1,-1,-1,2,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,335,1,,
4,4,-1,-1,-1,-1,1,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,337,1,,
5,4,-1,-1,-1,-1,1,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,334,1,,
6,19,-1,-1,-1,-1,-1,,,,13,355,-1,-1,-1,-1,,,,6,326,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,326,2,,
7,12,362,-1,-1,-1,1,,,,6,327,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,327,1,,
8,7,333,-1,-1,-1,-1,,,,11,353,-1,-1,-1,2,,,,6,324,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,324,2,,
9,7,337,-1,-1,-1,-1,,,,11,353,-1,-1,-1,2,,,,6,324,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,324,2,,
10,7,336,-1,-1,-1,-1,,,,11,353,-1,-1,-1,2,,,,6,324,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,324,2,,
11,7,323,-1,-1,-1,-1,,,,11,354,-1,-1,-1,2,,,,6,325,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,325,2,,
12,9,601,-1,-1,-1,-1,,,,6,328,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,328,1,,
13,9,604,-1,-1,-1,-1,,,,6,330,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,330,1,,
14,15,-1,-1,-1,-1,2,,,,17,-1,401,-1,-1,1,,,,6,332,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,332,1,,
15,15,-1,-1,-1,-1,2,,,,14,357,-1,-1,-1,-1,,,,6,332,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,332,2,,
16,2,501,-1,0,30,1,,,,8,602,-1,-1,-1,-1,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
17,2,501,-1,0,30,1,,,,8,602,-1,-1,-1,-1,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
18,2,501,-1,0,30,2,,,,8,602,-1,-1,-1,-1,,,,6,314,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,314,1,,
19,2,501,-1,0,30,2,,,,8,602,-1,-1,-1,-1,,,,6,376,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,376,1,,
20,16,-1,-1,-1,-1,-1,,,,1,501,-1,0,30,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,2,-1,-1,,
21,5,-1,-1,-1,-1,2,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,336,1,,
22,5,-1,-1,-1,-1,2,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,335,1,,
23,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,337,-1,,
24,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,334,-1,,
25,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,-1,,
