int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,empty 7,empty 8,empty 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,empty 16,empty 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,empty 26,empty 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,empty 35,empty 36,int32 37,int32 38,int32 39,empty 40,empty 41
1,4,-1,-1,-1,-1,1,,,,18,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,2,,
2,4,-1,-1,-1,-1,1,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,337,1,,
3,4,-1,-1,-1,-1,1,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,334,1,,
4,4,-1,-1,-1,-1,1,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,336,1,,
5,4,-1,-1,-1,-1,2,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,335,1,,
6,11,362,401,-1,-1,1,,,,10,371,-1,-1,-1,-1,,,,16,-1,-1,-1,-1,-1,,,,6,331,-1,-1,-1,-1,,,,3,331,2,,
7,2,501,-1,0,30,1,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
8,2,501,-1,0,30,1,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
9,11,362,401,-1,-1,1,,,,9,601,-1,-1,-1,-1,,,,6,315,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,315,2,,
10,11,362,401,-1,-1,1,,,,9,601,-1,-1,-1,-1,,,,6,304,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,304,2,,
11,11,362,401,-1,-1,1,,,,9,604,-1,-1,-1,-1,,,,6,317,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,317,2,,
12,11,362,401,-1,-1,1,,,,9,604,-1,-1,-1,-1,,,,6,306,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,306,2,,
13,11,362,401,-1,-1,1,,,,6,308,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,308,1,,
14,2,501,-1,0,50,1,,,,2,501,-1,50,100,2,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
15,2,501,-1,0,50,1,,,,2,501,-1,50,100,2,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
16,11,355,401,-1,-1,1,,,,6,326,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,326,1,,
17,3,-1,-1,-1,-1,1,,,,6,302,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,302,1,,
18,12,352,401,-1,-1,1,,,,6,303,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,303,1,,
19,1,502,-1,50,101,-1,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,4,337,-1,,
20,1,502,-1,50,101,-1,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,4,334,-1,,
21,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,-1,,
