int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,empty 7,empty 8,empty 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,empty 16,empty 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,empty 26,empty 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,empty 35,empty 36,int32 37,int32 38,int32 39,empty 40,empty 41
1,5,-1,-1,-1,-1,2,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,5,337,-1,,
2,5,-1,-1,-1,-1,2,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,5,334,-1,,
3,5,-1,-1,-1,-1,1,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,4,336,-1,,
4,5,-1,-1,-1,-1,1,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,4,335,-1,,
5,4,-1,-1,-1,-1,1,,,,18,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,2,,
6,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
7,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
8,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,314,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,314,1,,
9,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,376,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,376,1,,
10,1,502,-1,5,101,-1,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,336,-1,,
11,1,502,-1,5,101,-1,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,335,-1,,
12,1,502,-1,5,101,-1,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,337,-1,,
13,1,502,-1,5,101,-1,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,334,-1,,
14,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,-1,,
