int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,empty 7,empty 8,empty 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,empty 16,empty 17,empty 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,empty 25,empty 26,empty 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,empty 34,empty 35,empty 36,int32 37,int32 38,int32 39,empty 40,empty 41
1,4,-1,-1,-1,-1,2,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,336,1,,
2,4,-1,-1,-1,-1,2,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,335,1,,
3,4,-1,-1,-1,-1,1,,,,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,337,1,,
4,4,-1,-1,-1,-1,1,,,,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,8,334,1,,
5,5,-1,-1,-1,-1,2,,,,6,336,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,5,336,1,,
6,5,-1,-1,-1,-1,2,,,,6,335,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,5,335,1,,
7,16,-1,-1,-1,-1,-1,,,,6,332,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,332,1,,
8,10,330,-1,-1,-1,-1,,,,6,330,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,330,1,,
9,10,360,-1,-1,-1,-1,,,,6,306,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,306,1,,
10,10,360,-1,-1,-1,-1,,,,6,317,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,317,1,,
11,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,301,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,301,1,,
12,1,501,-1,0,30,-1,,,,8,602,-1,-1,-1,-1,,,,6,375,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,3,375,1,,
13,6,337,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,337,-1,,
14,6,334,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,6,334,-1,,
15,9,601,-1,-1,-1,-1,,,,16,-1,-1,-1,-1,-1,,,,1,-1,-1,0,50,-1,,,,-1,-1,-1,-1,-1,-1,,,,2,-1,-1,,
16,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,,,,1,-1,-1,,
