int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,empty 8,empty 9,int 10,int 11,int 12,int 13,int 14,int 15,empty 16,empty 17,empty 18,int 19,int 20,int 21,int 22,int 23,int 24,empty 25,empty 26,empty 27,int 28,int 29,int 30,int 31,int 32,int 33,empty 34,empty 35,empty 36,int 37,int 38,int 39,empty 40,empty 41
3,4,-1,-1,-1,-1,1,"","","",18,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,1,"",""
4,12,362,401,-1,-1,1,"","","",16,-1,-1,-1,-1,-1,"","","",10,369,-1,-1,-1,-1,"","","",6,329,-1,-1,-1,-1,"","","",3,329,2,"",""
5,12,362,401,-1,-1,1,"","","",6,315,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,315,1,"",""
6,12,362,401,-1,-1,1,"","","",6,304,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,304,1,"",""
7,12,362,401,-1,-1,1,"","","",6,308,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,308,1,"",""
8,15,-1,-1,-1,-1,1,"","","",14,363,-1,-1,-1,-1,"","","",6,309,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,309,2,"",""
9,11,367,403,-1,-1,1,"","","",6,320,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,320,1,"",""
10,11,367,403,-1,-1,1,"","","",6,310,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,310,1,"",""
12,2,501,-1,0,30,1,"","","",2,501,-1,0,50,3,"","","",6,314,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,314,1,"",""
13,2,501,-1,0,30,1,"","","",2,501,-1,0,50,3,"","","",6,376,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,376,1,"",""
15,2,501,-1,0,30,1,"","","",2,501,-1,0,50,2,"","","",6,301,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,301,1,"",""
16,2,501,-1,0,30,1,"","","",2,501,-1,0,50,2,"","","",6,375,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,375,1,"",""
20,-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,-1,"",""
