int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
102060011,1,5,"",-1,-1,10,"r_d0206_0010_0010",,
102060021,2,5,"",-1,-1,5,"r_d0206_0010_0020",,
102060031,3,5,"",-1,-1,5,"r_d0206_0010_0030",,
102060041,4,5,"",-1,-1,5,"r_d0206_0010_0040",,
102060051,5,5,"",-1,-1,5,"r_d0206_0010_0050",,
102060061,6,5,"",-1,-1,5,"r_d0206_0010_0060",,
102060071,7,5,"",-1,-1,5,"r_d0206_0010_0070",,
102060081,8,5,"",-1,-1,5,"r_d0206_0010_0080",,
102060091,9,5,"",-1,-1,5,"r_d0206_0010_0090",,
102060101,10,5,"",-1,-1,5,"r_d0206_0010_0100",,
