string3 0,string3 1
"chr000","chr000LOC"
"chr001","chr001LOC"
"chr002","chr002LOC"
"chr003","chr003LOC"
"chr004","chr004LOC"
"chr005","chr005LOC"
"chr006","chr006LOC"
"chr009","chr009LOC"
"chr010","chr010LOC"
"chr011","chr011LOC"
"chr012","chr012LOC"
"chr013","chr013LOC"
"chr014","chr014LOC"
"chr015","chr015LOC"
"chr016","chr016LOC"
"chr017","chr017LOC"
"chr019","chr019LOC"
"chr020","chr020LOC"
"chr021","chr021LOC"
"chr023","chr023LOC"
"chr024","chr024LOC"
"chr025","chr025LOC"
"chr026","chr026LOC"
"chr027","chr027LOC"
"chr028","chr028LOC"
"chr030","chr030LOC"
"chr031","chr031LOC"
"chr032","chr032LOC"
"chr033","chr033LOC"
"chr034","chr034LOC"
"chr035","chr035LOC"
"chr036","chr036LOC"
"chr037","chr037LOC"
"chr038","chr038LOC"
"chr039","chr039LOC"
"chr040","chr040LOC"
"chr041","chr041LOC"
"chr042","chr042LOC"
"chr044","chr044LOC"
"chr045","chr045LOC"
"chr046","chr046LOC"
"chr047","chr047LOC"
"chr048","chr048LOC"
"chr049","chr049LOC"
"chr050","chr050LOC"
"chr051","chr051LOC"
"chr052","chr052LOC"
"chr053","chr053LOC"
"chr055","chr055LOC"
"chr056","chr056LOC"
"chr057","chr057LOC"
"chr058","chr058LOC"
"chr059","chr059LOC"
"chr060","chr060LOC"
"chr061","chr061LOC"
"chr068","chr068LOC"
"chr070","chr070LOC"
"chr071","chr071LOC"
"chr072","chr072LOC"
"chr073","chr073LOC"
"chr074","chr074LOC"
"chr075","chr075LOC"
"chr076","chr076LOC"
"chr077","chr077LOC"
"chr078","chr078LOC"
"chr079","chr079LOC"
"chr080","chr080LOC"
"chr081","chr081LOC"
"chr082","chr082LOC"
"chr083","chr083LOC"
"chr084","chr084LOC"
"chr085","chr085LOC"
"chr086","chr086LOC"
"chr087","chr087LOC"
"chr088","chr088LOC"
"chr090","chr090LOC"
"chr091","chr091LOC"
"chr092","chr092LOC"
"chr093","chr093LOC"
