string3 0,string3 1
"chr001_ba01","ba01"
"chr001_ba02","ba02"
"chr002_ba01","ba01"
"chr002_ba02","ba02"
"chr003_ba01","ba01"
"chr003_ba02","ba02"
"chr004_ba01","ba01"
"chr004_ba02","ba02"
"chr005_ba01","ba01"
"chr005_ba02","ba02"
"chr006_ba01","ba01"
"chr006_ba02","ba02"
"chr009_ba01","ba01"
"chr009_ba02","ba02"
"chr010_ba01","ba01"
"chr010_ba02","ba02"
"chr011_ba01","ba01"
"chr011_ba02","ba02"
"chr012_ba01","ba01"
"chr012_ba02","ba02"
"chr012_d0301_pv","d0301_pv"
"chr013_ba01","ba01"
"chr013_ba02","ba02"
"chr014_ba01","ba01"
"chr014_ba02","ba02"
"chr015_ba01","ba01"
"chr015_ba02","ba02"
"chr016_ba01","ba01"
"chr016_ba02","ba02"
"chr017_ba01","ba01"
"chr017_ba02","ba02"
"chr019_ba01","ba01"
"chr019_ba02","ba02"
"chr020_ba01","ba01"
"chr020_ba02","ba02"
"chr021_ba01","ba01"
"chr021_ba02","ba02"
"chr021_d0305_pv","d0305_pv"
"chr023_ba01","ba01"
"chr023_ba02","ba02"
"chr024_ba01","ba01"
"chr024_ba02","ba02"
"chr025_ba01","ba01"
"chr025_ba02","ba02"
"chr026_ba01","ba01"
"chr026_ba02","ba02"
"chr027_ba01","ba01"
"chr027_ba02","ba02"
"chr028_ba01","ba01"
"chr028_ba02","ba02"
"chr030_ba01","ba01"
"chr030_ba02","ba02"
"chr031_ba01","ba01"
"chr031_ba02","ba02"
"chr032_ba01","ba01"
"chr032_ba02","ba02"
"chr033_ba01","ba01"
"chr033_ba02","ba02"
"chr034_ba01","ba01"
"chr034_ba02","ba02"
"chr035_ba01","ba01"
"chr035_ba02","ba02"
"chr036_ba01","ba01"
"chr036_ba02","ba02"
"chr037_ba01","ba01"
"chr037_ba02","ba02"
"chr038_ba01","ba01"
"chr038_ba02","ba02"
"chr039_ba01","ba01"
"chr039_ba02","ba02"
"chr040_ba01","ba01"
"chr040_ba02","ba02"
"chr041_ba01","ba01"
"chr041_ba02","ba02"
"chr042_ba01","ba01"
"chr042_ba02","ba02"
"chr044_ba01","ba01"
"chr044_ba02","ba02"
"chr044_f000","f000"
"chr045_ba01","ba01"
"chr045_ba02","ba02"
"chr046_ba01","ba01"
"chr046_ba02","ba02"
"chr047_ba01","ba01"
"chr047_ba02","ba02"
"chr048_ba01","ba01"
"chr048_ba02","ba02"
"chr049_ba01","ba01"
"chr049_ba02","ba02"
"chr049_d240_072_c06","d240_072_c06"
"chr049_d240_072_c07","d240_072_c07"
"chr049_d240_072_c09","d240_072_c09"
"chr049_d240_072_c14","d240_072_c14"
"chr049_d250_011_c05","d250_011_c05"
"chr049_d250_011_c06","d250_011_c06"
"chr049_d250_011_c08","d250_011_c08"
"chr049_d250_011_c10","d250_011_c10"
"chr049_d250_011_c11","d250_011_c11"
"chr049_d250_011_c12","d250_011_c12"
"chr049_d250_011_c13","d250_011_c13"
"chr049_d250_011_c14","d250_011_c14"
"chr050_ba01","ba01"
"chr050_ba02","ba02"
"chr050_bd02","bd02"
