int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1050201,"rumer_kokuwa","chr609",0,0,"","","fe04","",0,0,1,1,1,34.35,0.051,67.182,59.157,0,0,1,1,0,40,0.5,-1,"","",""
1050202,"rumor_0001","chr621",0,0,"","","fe02","",0,0,7,2,2,-13.477,-19.536,6.49,98.332,0,0,1,1,0,28,0,-1,"","",""
1050203,"rumor_0002","chr595",0,0,"","","e570","",0,0,99,3,3,-57.6,-19.536,-42.917,91.829,0,0,1,1,0,22,1.5,-1,"","",""
1050204,"rumor_0003","chr052",0,0,"","","f004","",0,0,5,4,4,16.697,-17.536,-73.444,-155.14,0,0,1,1,0,15,0.3,-1,"","",""
1050205,"rumor_0004","chr728",0,0,"","","e570","",0,0,7,5,5,-9.347,-17.357,7.943,-140.085,0,0,1,1,0,35,0.5,-1,"","",""
1050206,"rumor_0005","chr242",0,0,"","","bn02","",0,0,4,6,6,58.7,-8.432,-7.68,50.269,0,0,1,1,0,12,0.5,-1,"","",""
1050207,"rumor_0006","chr052",0,0,"","","f004","",0,0,4,7,7,58.308,-8.324,-8.736,102.18,70,0,1,1,0,12,0.25,-1,"","",""
1050208,"rumor_0007","chr595",0,0,"","","fe02","",0,0,8,8,8,15.881,-17.536,-80.518,-295.29,0,0,1,1,0,13,0.3,-1,"","",""
1050209,"rumor_0008","chr728",0,0,"","","fe04","",0,0,10,9,9,48.809,-15.269,-44.482,-31.311,0,0,1,1,0,18,0.2,-1,"","",""
1050210,"rumor_0009","chr707",0,0,"","","fe04","",0,0,10,10,10,43.762,-17.536,-43.585,40.535,0,0,1,1,0,15,0.2,-1,"","",""
