int 0,empty 1,int 2,empty 3,int 4,int 5,empty 6,int 7,int 8,empty 9,int 10,int 11,empty 12,int 13
1,"",1,"",4000,2,"",3000,5,"",2000,6,"",1000
2,"",1,"",4000,2,"",3000,9,"",2000,10,"",1000
3,"",1,"",4000,2,"",3000,13,"",2000,14,"",1000
4,"",1,"",4000,2,"",3000,17,"",2000,18,"",1000
5,"",21,"",4000,22,"",3000,25,"",2000,26,"",1000
6,"",21,"",4000,22,"",3000,77,"",2000,30,"",1000
7,"",21,"",4000,22,"",3000,33,"",2000,34,"",1000
8,"",21,"",4000,22,"",3000,37,"",2000,38,"",1000
9,"",41,"",4000,42,"",3000,45,"",2000,46,"",1000
10,"",41,"",4000,42,"",3000,49,"",2000,50,"",1000
11,"",41,"",4000,42,"",3000,53,"",2000,54,"",1000
12,"",41,"",4000,42,"",3000,57,"",2000,58,"",1000
13,"",61,"",4000,62,"",3000,65,"",2000,66,"",1000
14,"",61,"",4000,62,"",3000,69,"",2000,70,"",1000
15,"",61,"",4000,62,"",3000,73,"",2000,74,"",1000
16,"",61,"",4000,62,"",3000,29,"",2000,78,"",1000
