int 0,empty 1,int 2,empty 3,empty 4,empty 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,empty 15,empty 16,empty 17,int 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,empty 27,empty 28,empty 29,int 30,int 31,int 32,int 33,int 34,int 35,int 36,int 37,int 38,empty 39,empty 40,empty 41,int 42,int 43,int 44,int 45,int 46,int 47,int 48,int 49,int 50,empty 51,empty 52,empty 53,int 54,int 55,int 56,int 57,int 58,int 59,int 60,int 61,int 62,empty 63,empty 64,empty 65,int 66,int 67,int 68,int 69,int 70,int 71,int 72,int 73,int 74,string2 75,int 76,empty 77,int 78,empty 79,int 80,empty 81,bool 82,bool 83,bool 84,int 85
10101100,"",45801,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,42,"",-1,"",1,"",803,"",0,0,0,0
10101200,"",8101,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,42,"",-1,"",1,"",803,"",0,0,0,0
10101300,"",59501,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,1,1,1,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,42,"",-1,"",1,"",803,"",0,0,0,0
10110100,"",91101,"","","",100,2,5,50,50,0,0,1,-1,"","","",100,0,0,45,45,0,0,1,-1,"","","",100,0,0,45,45,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,3,"battle_10110100",-1,"",80,"",81,"",1,0,0,0
10110200,"",91101,"","","",100,2,5,50,50,0,0,1,-1,"","","",100,0,0,45,45,0,0,1,-1,"","","",100,0,0,45,45,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,-1,"","","",100,0,0,0,0,0,0,1,3,"",-1,"",80,"",81,"",1,0,0,0
10110300,"",97801,"","","",100,2,5,50,50,0,0,1,-1,"","","",102,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,31,"battle_10110300",-1,"",32,"",33,"",0,0,1,0
10210100,"",91001,"","","",100,2,7,52,52,0,0,1,-1,"","","",102,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,4,"battle_10210100",-1,"",34,"",36,"",0,0,0,0
10310100,"",95701,"","","",100,2,10,55,55,0,0,1,-1,"","","",102,2,0,45,45,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,5,"battle_10310100",-1,"",35,"",36,"",0,0,0,0
10320100,"",81101,"","","",100,2,10,55,55,0,0,1,-1,"","","",100,2,10,55,55,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,41,"battle_10320100",3,"",1,"",803,"",0,0,0,0
10320200,"",41101,"","","",100,2,11,56,56,0,0,1,41101,"","","",100,2,11,56,56,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,32,"battle_10320200",-1,"",1,"",803,"",0,0,0,0
10330100,"",91301,"","","",100,2,12,57,57,0,0,1,-1,"","","",100,2,15,60,60,0,0,1,-1,"","","",100,2,0,45,45,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,6,"battle_10330100",-1,"",70,"",71,"",1,0,0,0
10330200,"",4302,"","","",100,2,12,57,57,0,0,1,4302,"","","",100,2,12,57,57,0,0,1,4302,"","","",100,2,12,57,57,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,-1,"","","",100,2,0,0,0,0,0,1,26,"battle_10330200",-1,"",1,"",803,"",0,0,0,0
