int 0,empty 1,string 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,int 10,int 11,int 12,int 13
171,"","bg_t0171",-30,30,0.1,30,-30,30,0.1,24,24,24,0
172,"","bg_t0172",-30,30,0.1,30,-30,30,0.1,24,24,24,0
173,"","bg_t0173",-30,30,0.1,30,-30,30,0.1,24,24,24,0
174,"","bg_t0174",-30,30,0.1,30,-30,30,0.1,24,24,24,0
175,"","bg_t0175",-30,30,0.1,30,-30,30,0.1,24,24,24,0
176,"","bg_t0176",-30,30,0.1,30,-30,30,0.1,24,24,24,0
181,"","bg_t0181",-30,30,0.1,30,-30,30,0.1,24,24,24,0
182,"","bg_t0182",-30,30,0.1,30,-30,30,0.1,24,24,24,0
184,"","bg_t0184",-30,30,0.1,30,-30,30,0.1,24,24,24,0
185,"","bg_t0185",-30,30,0.1,30,-30,30,0.1,24,24,24,0
186,"","bg_t0186",-30,30,0.1,30,-30,30,0.1,24,24,24,0
271,"","bg_t0271",-30,30,0.1,30,-30,30,0.1,24,24,24,0
371,"","bg_t0371",-30,30,0.1,30,-30,30,0.1,24,24,24,0
381,"","bg_t0381",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10171,"","bg_d0171",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10172,"","bg_d0172",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10173,"","bg_d0173",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10174,"","bg_d0174",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10175,"","bg_d0175",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10176,"","bg_d0176",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10177,"","bg_d0177",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10178,"","bg_d0178",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10179,"","bg_d0179",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10271,"","bg_d0271",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10272,"","bg_d0272",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10273,"","bg_d0273",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10274,"","bg_d0274",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10275,"","bg_d0275",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10276,"","bg_d0276",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10277,"","bg_d0277",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10278,"","bg_d0278",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10371,"","bg_d0371",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10373,"","bg_d0373",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10374,"","bg_d0374",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10375,"","bg_d0375",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10376,"","bg_d0376",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10377,"","bg_d0377",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10378,"","bg_d0378",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10379,"","bg_d0379",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10380,"","bg_d0380",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10381,"","bg_d0381",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10382,"","bg_d0382",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10383,"","bg_d0383",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10471,"","bg_d0471",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10472,"","bg_d0472",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10473,"","bg_d0473",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10474,"","bg_d0474",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10475,"","bg_d0475",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10571,"","bg_d0571",-30,30,0.1,30,-30,30,0.1,144,60,44,0
10572,"","bg_d0572",-30,30,0.1,30,-30,30,0.1,24,24,24,0
10573,"","bg_d0573",-30,30,0.1,30,-30,30,0.1,24,24,24,0
