string2 0,float 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10
chr001,20,65,500,0,0,0,0,0,0,0
chr002,20,65,500,0,0,0,0,0,0,0
chr003,20,65,500,0,0,0,0,0,0,0
chr004,20,65,500,0,0,0,0,0,0,0
chr005,20,65,500,0,0,0,0,0,0,0
chr006,20,65,500,0,0,0,0,0,0,0
chr009,20,65,500,0,0,0,0,0,0,0
chr010,20,65,500,0,0,0,0,0,0,0
chr011,20,65,500,0,0,0,0,0,0,0
chr012,20,65,500,0,0,0,0,0,0,0
chr013,20,65,500,0,0,0,0,0,0,0
chr014,20,65,500,0,0,0,0,0,0,0
chr015,20,65,500,0,0,0,0,0,0,0
chr016,20,65,500,0,0,0,0,0,0,0
chr017,20,65,500,0,0,0,0,0,0,0
chr019,20,65,500,0,0,0,0,0,0,0
chr020,20,65,500,0,0,0,0,0,0,0
chr021,20,65,500,0,0,0,0,0,0,0
chr023,20,65,500,0,0,0,0,0,0,0
chr024,20,65,500,0,0,0,0,0,0,0
chr025,20,65,500,0,0,0,0,0,0,0
chr026,20,65,500,0,0,0,0,0,0,0
chr027,20,65,500,0,0,0,0,0,0,0
chr028,20,65,500,0,0,0,0,0,0,0
chr030,20,65,500,0,0,0,0,0,0,0
chr031,20,65,500,0,0,0,0,0,0,0
chr032,20,65,500,0,0,0,0,0,0,0
chr033,20,65,500,0,0,0,0,0,0,0
chr034,20,65,500,0,0,0,0,0,0,0
chr035,20,65,500,0,0,0,0,0,0,0
chr036,20,65,500,0,0,0,0,0,0,0
chr037,20,65,500,0,0,0,0,0,0,0
chr038,20,65,500,0,0,0,0,0,0,0
chr039,20,65,500,0,0,0,0,0,0,0
chr040,20,65,500,0,0,0,0,0,0,0
chr041,20,65,500,0,0,0,0,0,0,0
chr042,20,65,500,0,0,0,0,0,0,0
chr043,20,65,500,0,0,0,0,0,0,0
chr044,20,65,500,0,0,0,0,0,0,0
chr045,20,65,500,0,0,0,0,0,0,0
chr046,20,65,500,0,0,0,0,0,0,0
chr047,20,65,500,0,0,0,0,0,0,0
chr048,20,65,500,0,0,0,0,0,0,0
chr049,20,65,500,0,0,0,0,0,0,0
chr050,20,65,500,0,0,0,0,0,0,0
chr051,20,65,500,0,0,0,0,0,0,0
chr052,20,65,500,0,0,0,0,0,0,0
chr053,20,65,500,0,0,0,0,0,0,0
chr054,20,65,500,0,0,0,0,0,0,0
chr055,20,65,500,0,0,0,0,0,0,0
chr056,20,65,500,0,0,0,0,0,0,0
chr057,20,65,500,0,0,0,0,0,0,0
chr058,20,65,500,0,0,0,0,0,0,0
chr059,20,65,500,0,0,0,0,0,0,0
chr060,20,65,500,0,0,0,0,0,0,0
chr061,20,65,500,0,0,0,0,0,0,0
chr068,20,65,500,0,0,0,0,0,0,0
chr069,20,65,500,0,0,0,0,0,0,0
chr070,20,65,500,0,0,0,0,0,0,0
chr071,20,65,500,0,0,0,0,0,0,0
chr072,20,65,500,0,0,0,0,0,0,0
chr073,20,65,500,0,0,0,0,0,0,0
chr074,20,65,500,0,0,0,0,0,0,0
chr075,20,65,500,0,0,0,0,0,0,0
chr076,20,65,500,0,0,0,0,0,0,0
chr077,20,65,500,0,0,0,0,0,0,0
chr078,20,65,500,0,0,0,0,0,0,0
chr079,20,65,500,0,0,0,0,0,0,0
chr080,20,65,500,0,0,0,0,0,0,0
chr081,20,65,500,0,0,0,0,0,0,0
chr082,20,65,500,0,0,0,0,0,0,0
chr083,20,65,500,0,0,0,0,0,0,0
chr084,20,65,500,0,0,0,0,0,0,0
chr085,20,65,500,0,0,0,0,0,0,0
chr086,20,65,500,0,0,0,0,0,0,0
chr087,20,65,500,0,0,0,0,0,0,0
chr088,20,65,500,0,0,0,0,0,0,0
chr090,20,65,500,0,0,0,0,0,0,0
chr091,20,65,500,0,0,0,0,0,0,0
chr092,20,65,500,0,0,0,0,0,0,0
chr093,20,65,500,0,0,0,0,0,0,0
chr094,20,65,500,0,0,0,0,0,0,0
chr095,20,65,500,0,0,0,0,0,0,0
chr096,20,65,500,0,0,0,0,0,0,0
chr097,20,65,500,0,0,0,0,0,0,0
chr098,20,65,500,0,0,0,0,0,0,0
chr100,20,65,500,0,0,0,0,0,0,0
chr101,20,65,500,0,0,0,0,0,0,0
chr102,20,65,500,0,0,0,0,0,0,0
chr103,20,65,500,0,0,0,0,0,0,0
chr104,20,65,500,0,0,0,0,0,0,0
chr105,20,65,500,0,0,0,0,0,0,0
chr106,20,65,500,0,0,0,0,0,0,0
chr107,20,65,500,0,0,0,0,0,0,0
chr111,20,65,500,0,0,0,0,0,0,0
chr112,20,65,500,0,0,0,0,0,0,0
chr113,20,65,500,0,0,0,0,0,0,0
chr114,20,65,500,0,0,0,0,0,0,0
chr115,20,65,500,0,0,0,0,0,0,0
chr116,20,65,500,0,0,0,0,0,0,0
chr117,20,65,500,0,0,0,0,0,0,0
chr118,20,65,500,0,0,0,0,0,0,0
chr126,20,65,500,0,0,0,0,0,0,0
chr127,20,65,500,0,0,0,0,0,0,0
chr128,20,65,500,0,0,0,0,0,0,0
chr129,20,65,500,0,0,0,0,0,0,0
chr130,20,65,500,0,0,0,0,0,0,0
chr132,20,65,500,0,0,0,0,0,0,0
chr133,20,65,500,0,0,0,0,0,0,0
chr134,20,65,500,0,0,0,0,0,0,0
chr135,20,65,500,0,0,0,0,0,0,0
chr136,20,65,500,0,0,0,0,0,0,0
chr137,20,65,500,0,0,0,0,0,0,0
chr138,20,65,500,0,0,0,0,0,0,0
chr139,20,65,500,0,0,0,0,0,0,0
chr140,20,65,500,0,0,0,0,0,0,0
chr141,20,65,500,0,0,0,0,0,0,0
chr142,20,65,500,0,0,0,0,0,0,0
chr144,20,65,500,0,0,0,0,0,0,0
chr145,20,65,500,0,0,0,0,0,0,0
chr146,20,65,500,0,0,0,0,0,0,0
chr147,20,65,500,0,0,0,0,0,0,0
chr148,20,65,500,0,0,0,0,0,0,0
chr149,20,65,500,0,0,0,0,0,0,0
chr150,20,65,500,0,0,0,0,0,0,0
chr151,20,65,500,0,0,0,0,0,0,0
chr162,20,65,500,0,0,0,0,0,0,0
chr163,20,65,500,0,0,0,0,0,0,0
chr168,20,65,500,0,0,0,0,0,0,0
chr169,20,65,500,0,0,0,0,0,0,0
chr170,30,65,500,0,0,0,0,0,0,0
chr171,20,65,500,0,0,0,0,0,0,0
chr172,20,65,500,0,0,0,0,0,0,0
chr173,40,65,500,0,0,0,0,0,0,0
chr174,20,65,500,0,0,0,0,0,0,0
chr176,30,65,500,0,0,0,0,0,0,0
chr177,20,65,500,0,0,0,0,0,0,0
chr178,30,65,500,0,0,0,0,0,0,0
chr179,40,65,500,0,0,0,0,0,0,0
chr180,40,65,500,0,0,0,0,0,0,0
chr181,20,65,500,0,0,0,0,0,0,0
chr183a,20,65,500,0,0,0,0,0,0,0
chr184a,20,65,500,0,0,0,0,0,0,0
chr185a,20,65,500,0,0,0,0,0,0,0
chr186a,20,65,500,0,0,0,0,0,0,0
chr187a,20,65,500,0,0,0,0,0,0,0
chr188a,20,65,500,0,0,0,0,0,0,0
chr189,20,65,500,0,0,0,0,0,0,0
chr190,20,65,500,0,0,0,0,0,0,0
chr191,20,65,500,0,0,0,0,0,0,0
chr192,20,65,500,0,0,0,0,0,0,0
chr193,20,65,500,0,0,0,0,0,0,0
chr194,20,65,500,0,0,0,0,0,0,0
chr195,20,65,500,0,0,0,0,0,0,0
chr196,20,65,500,0,0,0,0,0,0,0
chr197,20,65,500,0,0,0,0,0,0,0
chr198,20,65,500,0,0,0,0,0,0,0
chr199,20,65,500,0,0,0,0,0,0,0
chr208,20,65,500,0,0,0,0,0,0,0
chr209,20,65,500,0,0,0,0,0,0,0
chr210,20,65,500,0,0,0,0,0,0,0
chr211,20,65,500,0,0,0,0,0,0,0
chr213,20,65,500,0,0,0,0,0,0,0
chr214,20,65,500,0,0,0,0,0,0,0
chr215,20,65,500,0,0,0,0,0,0,0
chr217,20,65,500,0,0,0,0,0,0,0
chr218,20,65,500,0,0,0,0,0,0,0
chr219,20,65,500,0,0,0,0,0,0,0
chr220,20,65,500,0,0,0,0,0,0,0
chr222,20,65,500,0,0,0,0,0,0,0
chr223,20,65,500,0,0,0,0,0,0,0
chr224,20,65,500,0,0,0,0,0,0,0
chr225,20,65,500,0,0,0,0,0,0,0
chr226,20,65,500,0,0,0,0,0,0,0
chr227,20,65,500,0,0,0,0,0,0,0
chr228,20,65,500,0,0,0,0,0,0,0
chr229,20,65,500,0,0,0,0,0,0,0
chr230,20,65,500,0,0,0,0,0,0,0
chr231,20,65,500,0,0,0,0,0,0,0
chr232,20,65,500,0,0,0,0,0,0,0
chr233,20,65,500,0,0,0,0,0,0,0
chr234,20,65,500,0,0,0,0,0,0,0
chr235,20,65,500,0,0,0,0,0,0,0
chr237,20,65,500,0,0,0,0,0,0,0
chr239,20,65,500,0,0,0,0,0,0,0
chr240,20,65,500,0,0,0,0,0,0,0
chr241,20,65,500,0,0,0,0,0,0,0
chr242,20,65,500,0,0,0,0,0,0,0
chr301,20,65,500,0,0,0,0,0,0,0
chr302,20,65,500,0,0,0,0,0,0,0
chr303,20,65,500,0,0,0,0,0,0,0
chr304,20,65,500,0,0,0,0,0,0,0
chr305,20,65,500,0,0,0,0,0,0,0
chr306,20,65,500,0,0,0,0,0,0,0
chr307,20,65,500,0,0,0,0,0,0,0
chr308,20,65,500,0,0,0,0,0,0,0
chr309,20,65,500,0,0,0,0,0,0,0
chr310,20,65,500,0,0,0,0,0,0,0
chr311,20,65,500,0,0,0,0,0,0,0
chr312,20,65,500,0,0,0,0,0,0,0
chr313,20,65,500,0,0,0,0,0,0,0
chr314,20,65,500,0,0,0,0,0,0,0
chr315,20,65,500,0,0,0,0,0,0,0
chr316,20,65,500,0,0,0,0,0,0,0
chr317,20,65,500,0,0,0,0,0,0,0
chr320,20,65,500,0,0,0,0,0,0,0
chr321,20,65,500,0,0,0,0,0,0,0
chr322,20,65,500,0,0,0,0,0,0,0
chr325,20,65,500,0,0,0,0,0,0,0
chr326,20,65,500,0,0,0,0,0,0,0
chr328,20,65,500,0,0,0,0,0,0,0
chr338,20,65,500,0,0,0,0,0,0,0
chr341,20,65,500,0,0,0,0,0,0,0
chr342,20,65,500,0,0,0,0,0,0,0
chr343,20,65,500,0,0,0,0,0,0,0
chr344,20,65,500,0,0,0,0,0,0,0
chr345,20,65,500,0,0,0,0,0,0,0
chr346,20,65,500,0,0,0,0,0,0,0
chr347,20,65,500,0,0,0,0,0,0,0
chr348,20,65,500,0,0,0,0,0,0,0
chr349,20,65,500,0,0,0,0,0,0,0
chr359,20,65,500,0,0,0,0,0,0,0
chr361,20,65,500,0,0,0,0,0,0,0
chr363,20,65,500,0,0,0,0,0,0,0
chr364,20,65,500,0,0,0,0,0,0,0
chr365,20,65,500,0,0,0,0,0,0,0
chr367,20,65,500,0,0,0,0,0,0,0
chr368,20,65,500,0,0,0,0,0,0,0
chr369,20,65,500,0,0,0,0,0,0,0
chr370,20,65,500,0,0,0,0,0,0,0
chr371,20,65,500,0,0,0,0,0,0,0
chr372,20,65,500,0,0,0,0,0,0,0
chr373,20,65,500,0,0,0,0,0,0,0
chr374,20,65,500,0,0,0,0,0,0,0
chr375,20,65,500,0,0,0,0,0,0,0
chr376,30,65,500,0,0,0,0,0,0,0
chr377,20,65,500,0,0,0,0,0,0,0
chr378,20,65,500,0,0,0,0,0,0,0
chr379,20,65,500,0,0,0,0,0,0,0
chr380,20,65,500,0,0,0,0,0,0,0
chr382,20,65,500,0,0,0,0,0,0,0
chr383,20,65,500,0,0,0,0,0,0,0
chr385,20,65,500,0,0,0,0,0,0,0
chr387,20,65,500,0,0,0,0,0,0,0
chr388,20,65,500,0,0,0,0,0,0,0
chr389,20,65,500,0,0,0,0,0,0,0
chr390,20,65,500,0,0,0,0,0,0,0
chr391,20,65,500,0,0,0,0,0,0,0
chr392,20,65,500,0,0,0,0,0,0,0
chr393,20,65,500,0,0,0,0,0,0,0
