int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
403001,"",3,"gim_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403004,"",-1,"gim_0004",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403005,"",-1,"gim_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403006,"",-1,"gim_0006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403007,"",-1,"gim_0007",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403008,"",-1,"gim_0008",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403009,"",-1,"gim_0009",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403010,"",-1,"gim_0010",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403011,"",-1,"gim_0011",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403012,"",1,"gim_0012",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403400,"",-1,"change_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403401,"",-1,"change_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403402,"",10,"change_0003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403500,"",1,"obj_0001",false,"t04breakfast00",1,0,"","","","","",0,0,"",0,0,0,0,0
403501,"",2,"obj_0002",false,"t04teacup00",1,0,"","","","","",0,0,"",0,0,0,0,0
403700,"",1,"gim_7000",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403701,"",1,"gim_7001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403905,"",-1,"gim_9005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403906,"",-1,"gim_9006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403907,"",-1,"gim_9007",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
403908,"",-1,"gim_9008",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
