int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
104040011,-1,1,"rumor_001",15,15,5,"r_d0404_0010_0010",,
104040021,-1,1,"rumor_002",14,14,5,"r_d0404_0010_0020",,
104040031,-1,1,"rumor_003",15,15,5,"r_d0404_0010_0030",,
104040041,-1,1,"rumor_004",22,22,5,"r_d0404_0010_0040",,
104040051,-1,1,"rumor_005",20,20,5,"r_d0404_0010_0050",,
104040061,-1,1,"rumor_006",14,14,5,"r_d0404_0010_0060",,
104040071,-1,1,"rumor_007",18,18,5,"r_d0404_0010_0070",,
104040081,-1,1,"rumor_008",13,13,5,"r_d0404_0010_0080",,
104040091,-1,1,"rumor_009",16,16,5,"r_d0404_0010_0090",,
104040301,-1,1,"rumor_030",15,15,5,"r_d0404_0020_0010",,
104040311,-1,1,"rumor_031",15,15,5,"r_d0404_0020_0020",,
104040321,-1,1,"rumor_032",15,15,5,"r_d0404_0020_0030",,
104040331,-1,1,"rumor_033",15,15,5,"r_d0404_0020_0040",,
104040341,-1,1,"rumor_034",15,15,5,"r_d0404_0020_0050",,
104040351,-1,1,"rumor_035",15,15,5,"r_d0404_0020_0060",,
104040361,-1,1,"rumor_036",15,15,5,"r_d0404_0020_0070",,
104040371,-1,1,"rumor_037",15,15,5,"r_d0404_0020_0080",,
104040381,-1,1,"rumor_038",15,15,5,"r_d0404_0020_0090",,
104040601,-1,1,"rumor_060",15,15,5,"r_d0404_0030_0010",,
104040611,-1,1,"rumor_061",15,15,5,"r_d0404_0030_0020",,
104040621,-1,1,"rumor_062",15,15,5,"r_d0404_0030_0030",,
104040631,-1,1,"rumor_063",15,15,5,"r_d0404_0030_0040",,
104040641,-1,1,"rumor_064",15,15,5,"r_d0404_0030_0050",,
104040651,-1,1,"rumor_065",15,15,5,"r_d0404_0030_0060",,
104040661,-1,1,"rumor_066",15,15,5,"r_d0404_0030_0070",,
104040671,-1,0,"npc_0225",15,15,5,"r_d0404_0030_0080",,
104040681,-1,0,"npc_0221",15,15,5,"r_d0404_0030_0090",,
104040691,-1,0,"npc_0217",15,15,5,"r_d0404_0030_0100",,
104040701,-1,0,"npc_0226",15,15,5,"r_d0404_0030_0110",,
104040711,-1,0,"npc_0249",40,40,5,"r_d0404_0030_0120",,
