int32 0,string3 1,int32 2,string2 3,bool 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
10502001,"",-1,"gim_0001",false,"d05craneswitch00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502002,"",-1,"gim_0002",false,"d05craneswitch00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502003,"",-1,"gim_0003",false,"d05doorswitch00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502005,"",10,"gim_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502006,"",10,"gim_0006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502007,"",10,"gim_0007",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502008,"",10,"gim_0008",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502009,"",10,"gim_0009",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502010,"",10,"gim_0010",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502011,"",-1,"gim_0011",false,"d05slidedoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502015,"",-1,"gim_0015",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502016,"",-1,"gim_0016",false,"d05doorswitch00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502017,"",-1,"gim_0017",false,"d05slidedoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502018,"",-1,"gim_0018",false,"d05slidedoor01",1,0,"","","","","",0,0,"",0,0,0,0,0
10502051,"",-1,"duct_0001",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502052,"",-1,"duct_0002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502053,"",-1,"duct_0005",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502054,"",-1,"duct_0006",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502055,"",-1,"duct_0010",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502057,"",-1,"duct_0014",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502058,"",-1,"duct_0015",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502059,"",-1,"duct_0017",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502060,"",-1,"duct_0019",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502063,"",-1,"duct_0025",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502064,"",-1,"duct_0028",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502065,"",-1,"duct_0030",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502100,"",-1,"obj_0001",false,"d05crane00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502101,"",-1,"obj_0002",false,"d05crane00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502350,"",10,"gim_0050",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502351,"",10,"gim_0051",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502357,"",10,"gim_0057",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502358,"",10,"gim_0058",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502359,"",10,"gim_0059",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502360,"",10,"gim_0060",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502361,"",10,"gim_0061",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502900,"",-1,"gim_9002",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502901,"",-1,"gim_9003",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10502902,"",-1,"gim_9004",false,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
