string3 0,int 1,float 2,float 3,float 4,float 5,float 6,string3 7,float 8,float 9,string3 10
"歩行者無視",0,2.5,0.75,1.2,1.2,0,"",0,0,""
"歩行者デフォルト",1,2.5,0.75,1.2,1.2,0,"",0,0,""
"歩行者シグナル",2,2.5,0.75,1.2,1.2,0,"",0,0,""
"歩行者早歩き",1,2.5,0.75,2,0,0,"",0,0,""
"歩行者遅歩き無視",0,2.5,0.75,0.33,0,0,"",0,0,""
"車両デフォルト",2,1,6,10,2,5,"stop",0,0,"ef_200030"
"デジモン速度1",1,1,0.75,1,1.2,0,"",0,0,""
"デジモンデフォルト",1,1,0.75,2.5,1.2,0,"",0,0,""
"デジモン速度4",1,1,0.75,4,1.2,0,"",0,0,""
"デジモン速度5",1,1,0.75,5,1.2,0,"",0,0,""
"デジモン速度20",1,1,0.75,20,1.2,0,"",0,0,""
"飛行デジモン速度20",0,1,0.75,20,1.2,0,"",0,0,""
"飛行デジモン速度5",0,1,0.75,5,1.2,0,"",0,0,""
"車両電車",2,1,6,10,2,5,"",0,0,""
"飛行デジモン速度1",0,1,0.75,1,1.2,0,"",0,0,""
"飛行デジモン速度4",0,1,0.75,4,1.2,0,"",0,0,""
