int32 0,int32 1,empty 2,int32 3,empty 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10
200803,1008,,3,,2,-1,-1,-1,-1,-1
200812,1008,,12,,2,-1,-1,-1,-1,-1
201170,1008,,370,,2,-1,-1,-1,-1,-1
201380,1008,,580,,2,-1,-1,-1,-1,-1
201555,1008,,755,,2,-1,-1,-1,-1,-1
201558,1008,,758,,2,-1,-1,-1,-1,-1
200803,1008,,3,,2,-1,-1,-1,-1,-1
200812,1008,,12,,2,-1,-1,-1,-1,-1
201170,1008,,370,,2,-1,-1,-1,-1,-1
201380,1008,,580,,2,-1,-1,-1,-1,-1
201555,1008,,755,,2,-1,-1,-1,-1,-1
201558,1008,,758,,2,-1,-1,-1,-1,-1
200803,1008,,3,,2,-1,-1,-1,-1,-1
200812,1008,,12,,2,-1,-1,-1,-1,-1
201170,1008,,370,,2,-1,-1,-1,-1,-1
201380,1008,,580,,2,-1,-1,-1,-1,-1
201555,1008,,755,,2,-1,-1,-1,-1,-1
201558,1008,,758,,2,-1,-1,-1,-1,-1
