string3 0,string2 1,string2 2,string2 3,float 4,float 5,float 6,float 7,float 8,float 9,float 10,int 11,float 12,string2 13,string2 14
"chr106","r106_fn01","r106_fw01","",12,0,1,8,16,13,21,3,12,"fe02","F01"
"chr015","r015_fn01","r015_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr305","r305_fn01","r305_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr605","r605_fn01","r605_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr173","r173_fn01","r173_fw01","",12,0,1,2,14,-1,-1,0,12,"fe02","F01"
"chr199","r199_fn01","r199_fw01","",12,0,1,1,10,4,14,3,12,"fe02","F01"
"chr416","r416_fn01","r416_fw01","",8,0,1,3,19,-1,-1,0,12,"fe02","F01"
"chr766","r766_fn01","r766_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr417","r417_fn01","r417_fw01","",16,0,1,-1,-1,-1,-1,4,16,"fe02","F01"
"chr920","r920_fn01","r920_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr711","r711_fn01","r711_fw01","",6,0,1,10,13,19,1,3,8,"fe02","F01"
"chr731","r731_fn01","r731_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr342","r342_fn01","r342_fw01","",9,0,1,9,19,-1,-1,0,12,"fe02","F01"
"chr344","r344_fn01","r344_fw01","",11,0,1,20,17,22,24,3,14,"fe02","F01"
"chr627","r627_fn01","r627_fw01","",12,0,1,7,14,21,28,3,12,"fe02","F01"
"chr732","r732_fn01","r732_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr346","r346_fn01","r346_fw01","",8,0,1,18,3,-1,-1,0,8,"fe02","F01"
"chr117","r117_fn01","r117_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr601","r601_fn01","r601_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr210","r210_fn01","r210_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr100","r100_fn01","r100_fw01","",4,0,1,11,27,-1,-1,0,8,"fe02","F01"
"chr027","r027_fn01","r027_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr393","r393_fn01","r393_fw01","",4,0,1,13,3,14,4,3,8,"fe02","F01"
"chr400","r400_fn01","r400_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr215","r215_fn01","r215_fw01","",14,0,1,-1,-1,-1,-1,4,14,"fe02","F01"
"chr001","r001_fn01","r001_fw01","",12,0,1,15,30,-1,-1,0,12,"fe02","F01"
