int 0,int 1,empty 2,empty 3,int 4,int 5,int 6,empty 7,int 8,empty 9,int 10,empty 11,int 12,empty 13,int 14,empty 15,int 16,empty 17,int 18,empty 19,int 20,empty 21,int 22,empty 23,int 24,empty 25,int 26,empty 27,int 28,empty 29
1621,162,"","",1,1,21621,"",21631,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1631,163,"","",1,1,21631,"",21621,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1761,176,"","",1,1,21761,"",21762,"",21891,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1891,189,"","",1,1,21891,"",21761,"",21762,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
2231,223,"","",1,1,22231,"",22241,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
2241,224,"","",1,1,22241,"",22231,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
4191,419,"","",1,1,24191,"",24192,"",27322,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
6751,675,"","",1,2,26751,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
6761,676,"","",1,1,26761,"",26791,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
6791,679,"","",1,1,26791,"",26761,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
6801,680,"","",1,1,26801,"",26811,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
6811,681,"","",1,1,26811,"",26801,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
7321,732,"","",1,1,27321,"",27322,"",24191,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
7391,739,"","",1,1,27391,"",27392,"",27431,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
7431,743,"","",1,1,27431,"",27432,"",27391,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
