int 0,empty 1,empty 2,empty 3,int 4,int 5,int 6,bool 7,bool 8,int 9,int 10,int 11,int 12,empty 13,int 14,empty 15,int 16,empty 17,int 18,empty 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,int 31,int 32,int 33,int 34,int 35,short 36,short 37,int 38,byte 39,byte 40,byte 41,byte 42,byte 43,byte 44,short 45,int 46,int 47,empty 48,short 49,short 50,empty 51,int 52,empty 53,int 54,empty 55,int 56,empty 57,int 58,empty 59,int 60,int 61,empty 62,int 63,int 64,empty 65,int 66,empty 67,int 68,empty 69,int 70,empty 71,string2 72
10011,"","","",10011,-1,10011,1,1,1,1,5,0,"",0,"",10012,"",10013,"",3,1,1,30,100,1,0,0,-1,-1,-1,-1,-1,4,1,1,0,5,0,0,100,1,10,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
10012,"","","",10012,-1,10012,1,0,0,15,1,10014,"",0,"",0,"",0,"",3,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",192100,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
10013,"","","",10013,-1,10013,1,0,0,0,1,0,"",0,"",0,"",0,"",3,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
10014,"","","",10014,-1,10014,1,0,0,0,1,0,"",0,"",0,"",0,"",3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
10016,"","","",10013,-1,10016,1,0,0,0,1,0,"",0,"",0,"",0,"",3,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11013,"","","",11013,-1,11013,1,0,0,19,1,0,"",0,"",10012,"",0,"",3,0,1,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11014,"","","",11014,-1,11014,1,0,0,1,1,10037,"",0,"",10012,"",10013,"",3,1,1,30,100,1,0,0,-1,-1,-1,-1,-1,13,1,1,0,5,0,0,100,1,10,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11015,"","","",11015,-1,11015,1,0,0,1,1,10037,"",0,"",10012,"",10013,"",3,1,1,30,100,1,0,0,-1,-1,-1,-1,-1,12,1,1,0,5,0,0,100,1,10,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11016,"","","",11016,11016,11016,1,0,0,0,3,13003,"",0,"",10012,"",10013,"",3,2,11,100,100,1,0,0,-1,-1,-1,-1,-1,5,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11017,"","","",11017,11017,11017,1,0,0,0,3,13003,"",0,"",10012,"",10013,"",3,2,11,175,100,1,0,0,-1,-1,-1,-1,-1,5,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11018,"","","",11018,11018,11018,1,0,0,0,3,13003,"",0,"",10012,"",10013,"",3,2,11,155,100,1,0,0,-1,-1,-1,-1,-1,5,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",114100,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11019,"","","",11019,11019,11019,1,0,0,0,3,13003,"",0,"",10012,"",10013,"",3,2,11,280,100,1,0,0,-1,-1,-1,-1,-1,1,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11020,"","","",11020,11020,11020,1,0,0,0,3,13003,"",0,"",31011,"",0,"",3,3,10,50,100,1,0,0,-1,-1,-1,-1,-1,6,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",400003,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11021,"","","",11021,11021,11021,1,0,0,0,3,13003,"",0,"",31011,"",0,"",3,3,10,100,100,3,0,7,-1,-1,-1,-1,-1,2,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11022,"","","",11022,11022,11022,1,0,0,0,3,13003,"",0,"",31032,"",0,"",3,0,10,35,100,1,0,1,-1,-1,-1,-1,-1,6,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",191100,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11023,"","","",11023,11023,11023,1,0,0,0,3,13003,"",0,"",32011,"",0,"",3,5,0,0,100,1,0,0,-1,-1,-1,-1,-1,6,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",400001,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11024,"","","",11024,11024,11024,1,0,0,0,3,13003,"",0,"",10012,"",10013,"",3,2,11,85,100,1,0,0,-1,-1,-1,-1,-1,5,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",400002,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11025,"","","",11025,11025,11025,1,0,0,0,3,13003,"",0,"",32011,"",0,"",3,5,0,0,100,1,0,0,-1,-1,-1,-1,-1,6,1,1,0,5,12,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",400004,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11027,"","","",11027,-1,11027,1,0,0,1,0,0,"",0,"",10012,"",10013,"",3,0,1,15,100,1,0,0,-1,-1,-1,-1,-1,4,1,1,0,5,0,0,100,1,10,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11028,"","","",11028,-1,11028,1,0,0,2,0,0,"",0,"",31011,"",0,"",3,3,10,10,100,1,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11029,"","","",11029,-1,11029,1,0,0,2,0,0,"",0,"",31013,"",0,"",3,0,10,50,100,2,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11030,"","","",11030,-1,11030,1,0,0,2,0,0,"",0,"",31011,"",0,"",3,3,10,50,100,1,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11031,"","","",11031,-1,11031,1,0,0,2,0,0,"",0,"",31013,"",0,"",3,3,10,10,100,2,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11032,"","","",11032,-1,11032,1,0,0,2,0,0,"",0,"",31011,"",0,"",3,3,10,20,100,1,0,0,-1,-1,-1,-1,-1,7,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11033,"","","",11033,-1,11033,1,0,0,2,0,0,"",0,"",31013,"",0,"",3,3,10,20,100,2,0,0,-1,-1,-1,-1,-1,7,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11034,"","","",11034,-1,11034,1,0,0,2,0,0,"",0,"",31011,"",0,"",3,3,10,10,100,3,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11035,"","","",11035,-1,11035,1,0,0,2,0,0,"",0,"",32011,"",0,"",3,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11035,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11036,"","","",11036,-1,11036,1,0,0,2,0,0,"",0,"",32011,"",0,"",3,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11036,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11037,"","","",11037,-1,11037,1,0,0,2,0,0,"",0,"",32131,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11037,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11038,"","","",11038,-1,11038,1,0,0,2,0,0,"",0,"",32011,"",0,"",3,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,7,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11038,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11039,"","","",11039,-1,11039,1,0,0,2,0,0,"",0,"",32131,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,5,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11039,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11040,"","","",11040,-1,11040,1,0,0,2,0,0,"",0,"",32131,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,5,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11040,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11041,"","","",11041,-1,11041,1,0,0,2,0,0,"",0,"",32011,"",0,"",3,5,0,0,100,0,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11041,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11042,"","","",11042,-1,11042,1,0,0,2,0,0,"",0,"",0,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,5,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11042,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11043,"","","",11043,-1,11043,1,0,0,2,0,0,"",0,"",0,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11044,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11044,"","","",11044,-1,11044,1,0,0,2,0,0,"",0,"",0,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11045,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11045,"","","",11045,-1,11045,1,0,0,2,0,0,"",0,"",0,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11046,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11046,"","","",11046,-1,11046,1,0,0,2,0,0,"",0,"",0,"",0,"",3,6,0,0,100,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,1,100,0,0,0,0,0,0,0,"",0,0,"",0,"",11047,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
11047,"","","",11047,-1,11047,1,0,0,1,0,0,"",0,"",10012,"",10013,"",3,0,1,30,100,1,0,0,-1,-1,-1,-1,-1,4,1,1,0,5,0,0,100,1,10,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12003,"","","",12003,-1,12003,1,0,0,19,1,0,"",0,"",10034,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12004,"","","",-1,-1,12004,1,0,0,19,1,0,"",0,"",10034,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12005,"","","",-1,-1,12005,1,0,0,0,1,10037,"",0,"",10037,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12006,"","","",12006,-1,12006,1,0,0,0,1,10036,"",0,"",10036,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12007,"","","",12007,-1,12007,1,0,0,0,1,10035,"",0,"",10035,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12023,"","","",12023,-1,12023,1,0,0,17,1,0,"",0,"",31011,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12024,"","","",12024,-1,12024,1,0,0,17,1,0,"",0,"",31013,"",0,"",3,0,0,100,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12085,"","","",12085,-1,12085,1,0,0,15,1,10014,"",0,"",10014,"",0,"",3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
12086,"","","",12085,-1,12086,1,0,0,15,1,10014,"",0,"",10014,"",0,"",3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,0,100,0,0,0,0,0,0,0,"",0,0,"",0,"",0,"",0,"",0,"",0,-1,"",0,-1,"",-1,"",-1,"",-1,"",""
