int32 0,int32 1,empty 2,int32 3,empty 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10
4,1003,"",3,"",0,-1,-1,-1,-1,-1
5,1003,"",12,"",0,-1,-1,-1,-1,-1
6,1003,"",370,"",0,-1,-1,-1,-1,-1
7,1003,"",580,"",0,-1,-1,-1,-1,-1
8,1003,"",755,"",0,-1,-1,-1,-1,-1
9,1003,"",758,"",0,-1,-1,-1,-1,-1
4,1003,"",3,"",0,-1,-1,-1,-1,-1
5,1003,"",12,"",0,-1,-1,-1,-1,-1
6,1003,"",370,"",0,-1,-1,-1,-1,-1
7,1003,"",580,"",0,-1,-1,-1,-1,-1
8,1003,"",755,"",0,-1,-1,-1,-1,-1
9,1003,"",758,"",0,-1,-1,-1,-1,-1
4,1003,"",3,"",0,-1,-1,-1,-1,-1
5,1003,"",12,"",0,-1,-1,-1,-1,-1
6,1003,"",370,"",0,-1,-1,-1,-1,-1
7,1003,"",580,"",0,-1,-1,-1,-1,-1
8,1003,"",755,"",0,-1,-1,-1,-1,-1
9,1003,"",758,"",0,-1,-1,-1,-1,-1
742,515,"",1003,"",0,-1,-1,-1,-1,-1
742,515,"",1003,"",0,-1,-1,-1,-1,-1
742,515,"",1003,"",0,-1,-1,-1,-1,-1
