int32 0,empty 1,int32 2,int32 3,int32 4,empty 5,string2 6,float 7,string2 8,string2 9,string2 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20
29001,,1,0,29001,,"s01Tobj08",2,"s01pos00","ui_icon_item_086","bn02",30,1000,0,0,0,0,0,0,10,0
29009,,2,0,29009,,"s01Tobj08",2,"s01pos00","ui_icon_item_086","bn02",60,3000,0,0,0,0,0,0,20,0
29015,,3,0,29015,,"s01Tobj08",2,"s01pos00","ui_icon_item_086","bn02",90,5000,0,0,0,0,0,0,0,0
29002,,4,0,29002,,"s01Tobj07",2,"s01pos00","ui_icon_item_086","fe02",30,0,1000,0,0,0,0,0,-10,0
29010,,5,0,29010,,"s01Tobj07",2,"s01pos00","ui_icon_item_086","fe02",60,0,3000,0,0,0,0,0,-20,0
29016,,6,0,29016,,"s01Tobj07",2,"s01pos00","ui_icon_item_086","fe02",90,0,5000,0,0,0,0,0,0,0
29003,,7,0,29003,,"s01Tobj03",2,"s01pos00","ui_icon_item_086","bf01",30,0,0,300,0,0,0,0,10,-10
29004,,8,0,29004,,"s01Tobj04",2,"s01pos00","ui_icon_item_086","bf01",60,0,0,1000,0,0,0,0,20,-20
29017,,9,0,29017,,"s01Tobj04",2,"s01pos00","ui_icon_item_086","bf01",90,0,0,1500,0,0,0,0,0,0
29005,,10,0,29005,,"s01Tobj05",2,"s01pos00","ui_icon_item_086","bg01",30,0,0,0,300,0,0,0,12,8
29011,,11,0,29011,,"s01Tobj05",2,"s01pos00","ui_icon_item_086","bg01",60,0,0,0,1000,0,0,0,25,15
29018,,12,0,29018,,"s01Tobj05",2,"s01pos00","ui_icon_item_086","bg01",90,0,0,0,1500,0,0,0,0,0
29006,,13,0,29006,,"s01Tobj02",2,"s01pos00","ui_icon_item_086","fq01",30,0,0,0,0,300,0,0,-10,10
29012,,14,0,29012,,"s01Tobj02",2,"s01pos00","ui_icon_item_086","fq01",60,0,0,0,0,1000,0,0,-20,20
29019,,15,0,29019,,"s01Tobj02",2,"s01pos00","ui_icon_item_086","fq01",90,0,0,0,0,1500,0,0,0,0
29007,,16,0,29007,,"s01Tobj06",2,"s01pos00","ui_icon_item_086","fe02",30,0,0,0,0,0,300,0,-10,-10
29013,,17,0,29013,,"s01Tobj06",2,"s01pos00","ui_icon_item_086","fe02",60,0,0,0,0,0,1000,0,-20,-20
29020,,18,0,29020,,"s01Tobj06",2,"s01pos00","ui_icon_item_086","fe02",90,0,0,0,0,0,1500,0,0,0
29008,,19,0,29008,,"s01Tobj01",2,"s01pos00","ui_icon_item_086","br01",30,0,0,0,0,0,0,300,8,12
29014,,20,0,29014,,"s01Tobj01",2,"s01pos00","ui_icon_item_086","br01",60,0,0,0,0,0,0,1000,15,25
29021,,21,0,29021,,"s01Tobj01",2,"s01pos00","ui_icon_item_086","br01",90,0,0,0,0,0,0,1500,0,0
