int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1030011,1,5,"",-1,-1,10,"r_t0103_0010_0010",,
1030021,2,5,"",-1,-1,10,"r_t0103_0010_0020",,
1030031,3,5,"",-1,-1,10,"r_t0103_0010_0030",,
1030041,4,5,"",-1,-1,10,"r_t0103_0010_0040",,
1030051,5,5,"",-1,-1,10,"r_t0103_0010_0050",,
1030061,6,5,"",-1,-1,10,"r_t0103_0010_0060",,
1030071,7,5,"",-1,-1,60,"r_t0103_0010_0070",,
1030081,8,5,"",-1,-1,60,"r_t0103_0010_0080",,
1030091,9,5,"",-1,-1,60,"r_t0103_0010_0090",,
1030101,10,5,"",-1,-1,60,"r_t0103_0010_0100",,
1030111,-1,1,"rumor_001",15,15,10,"r_t0103_0010_0110",,
1030121,-1,1,"rumor_002",15,15,10,"r_t0103_0010_0120",,
1030131,-1,1,"rumor_003",20,15,10,"r_t0103_0010_0130",,
1030141,-1,1,"rumor_004",20,15,10,"r_t0103_0010_0140",,
1030161,-1,1,"rumor_005",15,15,10,"r_t0103_0010_0210",,
1030171,-1,1,"rumor_006",15,15,10,"r_t0103_0010_0220",,
1030181,-1,1,"rumor_007",15,15,10,"r_t0103_0010_0230",,
1030191,-1,1,"rumor_008",15,15,10,"r_t0103_0010_0240",,
1030201,-1,1,"rumor_009",15,15,10,"r_t0103_0010_0250",,
1030211,-1,1,"rumor_010",15,6,60,"r_t0103_0010_0051",,
1030221,-1,1,"rumor_011",15,6,60,"r_t0103_0010_0052",,
1030231,-1,1,"rumor_012",15,12,600,"r_t0103_0010_0053",,
1030241,-1,1,"rumor_013",15,15,600,"r_t0103_0010_0054",,
1030251,-1,1,"rumor_014",15,13,600,"r_t0103_0010_0055",,
1030261,-1,1,"rumor_015",15,15,600,"r_t0103_0010_0056",,
1030271,-1,1,"rumor_016",15,4,600,"r_t0103_0010_0057",,
1030281,-1,1,"rumor_017",15,12,600,"r_t0103_0010_0058",,
1030291,-1,1,"rumor_018",15,6,600,"r_t0103_0010_0059",,
1030301,-1,1,"rumor_019",15,10,600,"r_t0103_0010_0061",,
1030311,-1,1,"rumor_020",15,16,600,"r_t0103_0010_0062",,
1030321,-1,1,"rumor_021",15,12,600,"r_t0103_0010_0063",,
1030331,-1,1,"rumor_022",15,12,600,"r_t0103_0010_0064",,
1030341,-1,1,"rumor_023",15,17,600,"r_t0103_0010_0065",,
1030351,-1,1,"rumor_024",15,12,600,"r_t0103_0010_0066",,
1030361,-1,1,"rumor_025",15,36,600,"r_t0103_0010_0067",,
1030371,-1,1,"rumor_026",15,38,600,"r_t0103_0010_0068",,
1030381,-1,1,"rumor_027",15,32,600,"r_t0103_0010_0069",,
1030501,-1,0,"douger_1",25,25,60,"r_t0103_0010_0160",,
1030511,-1,0,"douger_2",25,25,60,"r_t0103_0010_0170",,
1030521,-1,0,"douger_3",25,25,60,"r_t0103_0010_0180",,
1030531,-1,0,"douger_4",25,25,60,"r_t0103_0010_0190",,
1030541,-1,0,"douger_5",25,25,60,"r_t0103_0010_0200",,
1030551,-1,0,"douger_6",25,25,60,"r_t0103_0010_0175",,
1030561,-1,0,"douger_7",25,25,60,"r_t0103_0010_0185",,
1030571,-1,0,"douger_8",25,25,60,"r_t0103_0010_0195",,
