int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,11047,11047,11047,11047,11047,11047,11047
2,11047,11047,11047,11047,11047,11047,11047
3,11047,11047,11047,11047,11047,11047,11047
4,11047,11047,11047,11047,11047,11047,11047
5,11028,11029,11030,11031,11032,11033,11034
6,11028,11029,11030,11031,11032,11033,11034
7,11028,11029,11030,11031,11032,11033,11034
8,11028,11029,11030,11031,11032,11033,11034
9,11035,11036,11037,11038,11039,11040,11041
10,11035,11036,11037,11038,11039,11040,11041
11,11035,11036,11037,11038,11039,11040,11041
12,11035,11036,11037,11038,11039,11040,11041
13,11042,11042,11042,11043,11044,11045,11046
14,11042,11042,11042,11043,11044,11045,11046
15,11042,11042,11042,11043,11044,11045,11046
16,11042,11042,11042,11043,11044,11045,11046
