int32 0,empty 1,empty 2,empty 3,int8 4,int8 5,int8 6,empty 7,int8 8,int8 9,int8 10,empty 11,int8 12,int8 13,int8 14,empty 15,int8 16,int8 17,int8 18
11,,,,0,1,0,,0,0,0,,0,0,0,,0,0,0
12,,,,0,0,0,,1,0,2,,0,2,0,,2,0,1
13,,,,0,2,0,,0,0,0,,0,1,0,,0,0,0
21,,,,0,2,0,,0,0,0,,0,2,0,,0,0,0
22,,,,1,2,1,,1,0,1,,1,2,1,,1,0,1
23,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
31,,,,0,1,0,,0,1,0,,0,1,0,,0,1,0
32,,,,0,2,0,,2,0,2,,2,0,2,,2,0,2
33,,,,0,2,0,,2,2,2,,2,2,2,,2,2,2
41,,,,0,1,0,,0,0,0,,0,2,0,,0,0,0
42,,,,0,0,0,,0,0,0,,2,2,2,,0,0,0
43,,,,0,2,0,,2,0,2,,0,2,0,,2,0,2
51,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
52,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
53,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
61,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
62,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
63,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
