int32 0,empty 1,empty 2,string3 3,string3 4,empty 5,int8 6,empty 7,int8 8,empty 9,int8 10,empty 11,int8 12
5,,,"fe02","fe02",,2,,2,,-1,,-1
6,,,"ba02","ba02",,3,,3,,-1,,-1
7,,,"bn01","bn01",,0,,0,,-1,,-1
8,,,"bn01","bn01",,0,,0,,-1,,-1
9,,,"ba02","ba02",,3,,3,,-1,,-1
10,,,"fe02","fe02",,2,,2,,-1,,-1
11,,,"bn01","bn01",,0,,0,,-1,,-1
12,,,"bn01","bn01",,0,,0,,-1,,-1
13,,,"bn01","bn01",,0,,0,,-1,,-1
14,,,"bn01","bn01",,0,,0,,-1,,-1
15,,,"fe02","fe02",,2,,2,,-1,,-1
16,,,"ba02","ba02",,3,,3,,-1,,-1
17,,,"bn01","bn01",,0,,0,,-1,,-1
18,,,"bn01","bn01",,0,,0,,-1,,-1
19,,,"ba02","ba02",,3,,3,,-1,,-1
20,,,"fe02","fe02",,2,,2,,-1,,-1
