int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,string3 9,empty 10,int32 11,string3 12
0,10000,0,-1,-1,-1,0,0,0,"",,0,""
1,10001,1,0,-1,-1,200,0,0,"br01",,0,"s01Tobj01"
2,10002,2,1,-1,-1,100,0,0,"fq01",,0,"s01Tobj02"
3,10003,3,2,-1,-1,100,0,0,"ba01",,3,"s01Tobj03"
4,10004,4,4,-1,-1,100,0,0,"fe04",,3,"s01Tobj04"
5,10005,5,3,-1,-1,100,0,0,"bg01",,3,"s01Tobj05"
6,10006,6,5,-1,-1,100,0,0,"bn02",,1,"s01Tobj06"
7,10007,7,6,-1,-1,100,0,0,"fe02",,0,"s01Tobj07"
8,10008,8,0,2,3,60,30,30,"ba01",,0,"s01Tobj03"
9,10009,9,1,4,5,30,30,30,"fq01",,0,"s01Tobj02"
