int32 0,int32 1,int32 2,int32 3,empty 4,int32 5,empty 6,empty 7,int32 8,int32 9,int32 10,int32 11,int32 12,empty 13,int16 14,int16 15,int32 16,empty 17,int16 18,int16 19,int32 20,empty 21,int16 22,int16 23,int32 24,empty 25,int16 26,int16 27,int32 28,empty 29,int16 30,int16 31
11,1,1,20100,,20101,,,-1,-1,1,20151,569,,3,20,629,,3,30,380,,3,10,631,,3,30,0,,0,0
12,1,2,20100,,20102,,,-1,-1,1,20152,0,,0,10,0,,0,10,0,,0,10,0,,0,10,0,,0,10
21,2,1,20200,,20201,,,1,-1,1,20251,756,,3,50,301,,1,10,134,,1,10,364,,1,10,71,,1,10
22,2,2,20200,,20202,,,2,-1,1,20252,370,,3,10,371,,3,10,409,,3,10,450,,3,10,411,,3,10
31,3,1,20300,,20301,,,7,-1,1,20351,0,,3,10,0,,3,10,0,,3,10,0,,3,10,0,,3,10
32,3,2,20300,,20302,,,7,-1,1,20352,0,,3,10,0,,3,10,0,,3,10,0,,3,10,0,,0,0
33,3,3,20300,,20303,,,4,-1,1,20353,0,,3,10,0,,3,10,0,,3,10,0,,0,0,0,,0,0
34,3,4,20300,,20304,,,5,-1,1,20354,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
41,4,1,20400,,20401,,,4,-1,1,20451,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
51,5,1,20500,,20501,,,3,-1,1,20551,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
61,6,1,20600,,20601,,,6,-1,1,20651,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
71,7,1,20700,,20701,,,9,-1,1,20751,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
81,8,1,20800,,20801,,,10,-1,1,20851,0,,3,10,0,,0,10,0,,0,0,0,,0,0,0,,0,0
