int32 0,empty 1,int32 2,empty 3,string3 4,string3 5,string3 6,float 7,float 8,float 9,float 10,string3 11
1,,0,,"s01farm5001","","s01farm0001",1,3,0,0.4,""
2,,0,,"s01farm5101","","s01farm0001",1,3,0,0.4,""
3,,0,,"s01farm5201","","s01farm0001",1,3,0,0.4,""
4,,0,,"s01farm9001","s01farm9001p","s01farm0101",1,3,0,0.4,""
101,,401,,"s01farm0101","s01farm0101p","s01farm0101",1,3,0,0.4,""
102,,402,,"s01farm0102","s01farm0102p","s01farm0101",1,3,0,0.5,""
103,,403,,"s01farm0103","s01farm0103p","s01farm0101",1,3,0,0.6,""
201,,404,,"s01farm0201","s01farm0201p","s01farm0201",1,3,0,0.37,"ef_s_env_102"
202,,405,,"s01farm0202","s01farm0202p","s01farm0201",1,3,0,0.47,"ef_s_env_102"
203,,406,,"s01farm0203","s01farm0203p","s01farm0201",1,3,0,0.57,"ef_s_env_102"
301,,407,,"s01farm0301","s01farm0301p","s01farm0301",1,3,0,0.4,"ef_s_env_100"
302,,408,,"s01farm0302","s01farm0302p","s01farm0301",1,3,0,0.5,"ef_s_env_100"
303,,409,,"s01farm0303","s01farm0303p","s01farm0301",1,3,0,0.6,"ef_s_env_100"
401,,410,,"s01farm0401","s01farm0401p","s01farm0401",1,3,0,0.35,""
402,,411,,"s01farm0402","s01farm0402p","s01farm0401",1,3,0,0.45,""
403,,412,,"s01farm0403","s01farm0403p","s01farm0401",1,3,0,0.55,""
501,,413,,"s01farm0501","s01farm0501p","s01farm0501",1,3,0,0.43,"ef_s_env_101"
502,,414,,"s01farm0502","s01farm0502p","s01farm0501",1,3,0,0.53,"ef_s_env_101"
503,,415,,"s01farm0503","s01farm0503p","s01farm0501",1,3,0,0.63,"ef_s_env_101"
