int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,int32 6,int8 7,int8 8,int16 9,int32 10
4,,2,-1,-1,-1,-1,0,99,5,3
101,,0,7,3,-1,-1,3,99,5,3
102,,1,7,3,-1,-1,5,99,5,3
103,,2,7,3,-1,-1,8,99,5,3
201,,0,2,4,-1,-1,3,99,5,3
202,,1,2,4,-1,-1,5,99,5,3
203,,2,2,4,-1,-1,8,99,5,3
301,,0,1,8,-1,-1,3,99,5,3
302,,1,1,8,-1,-1,5,99,5,3
303,,2,1,8,-1,-1,8,99,5,3
401,,0,5,6,-1,-1,3,99,5,3
402,,1,5,6,-1,-1,5,99,5,3
403,,2,5,6,-1,-1,8,99,5,3
501,,0,9,10,-1,-1,3,99,5,3
502,,1,9,10,-1,-1,5,99,5,3
503,,2,9,10,-1,-1,8,99,5,3
