int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
11001001,"",-1,"gim_0001",0,"d1001powerswitch00",1,0,"","","","","",0,0,"wall_cl",10,10,10,0,0
11001002,"",1,"gim_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001004,"",-1,"gim_0004",0,"d1001gratingdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001005,"",-1,"gim_9000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001006,"",-1,"gim_9002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001100,"",1,"obj_0001",0,"d10debris00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001101,"",-1,"obj_0002",0,"d10debris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11001102,"",10,"obj_0003",0,"d10shutter00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001103,"",11,"obj_0004",0,"d10evobject00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001104,"",-1,"obj_0005",0,"f00barricade00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001105,"",-1,"obj_0006",0,"f00barricade00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001107,"",-1,"obj_0008",0,"d10breakdebris00",1,0,"","","","","",0,0,"plan",0,0,0,0,0
11001108,"",-1,"obj_0009",0,"d10breakdebris00",1,0,"","","","","",0,0,"plan",0,0,0,0,0
11001109,"",-1,"obj_0010",0,"d10breakdebris01",1,0,"","","","","",0,0,"plan",0,0,0,0,0
11001110,"",-1,"obj_0011",0,"d10breakdebris00",1,0,"","","","","",0,0,"plan",0,0,0,0,0
11001111,"",-1,"obj_0012",0,"d10breakdebris01",1,0,"","","","","",0,0,"plan",0,0,0,0,0
11001112,"",-1,"obj_0013",0,"d10breakdebris00",1,0,"","","","","",0,0,"",0,0,0,0,0
11001113,"",-1,"obj_0014",0,"d10breakdebris01",1,0,"","","","","",0,0,"",0,0,0,0,0
11001300,"",12,"change_0001",1,"ef_f_mov_121_ga",1,0,"","","","","",0,0,"",0,0,0,0,0
