int 0,empty 1,empty 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,empty 10,empty 11,empty 12
10100,"","",101,0,-1,4,25,801,-1,"","",""
10200,"","",102,0,-1,4,25,801,-1,"","",""
10300,"","",103,0,-1,3,7,204,-1,"","",""
10900,"","",109,0,-1,3,7,801,-1,"","",""
30100,"","",301,0,-1,4,25,207,-1,"","",""
1010200,"","",10102,0,-1,3,15,801,-1,"","",""
1010300,"","",10103,0,-1,3,15,801,-1,"","",""
1010400,"","",10104,0,-1,3,15,801,-1,"","",""
1010500,"","",10105,0,-1,3,15,206,-1,"","",""
1010600,"","",10106,0,-1,3,15,801,-1,"","",""
1010700,"","",10107,0,-1,3,15,801,-1,"","",""
1010900,"","",10109,0,-1,3,15,206,-1,"","",""
1020100,"","",10201,0,-1,3,15,801,-1,"","",""
1020200,"","",10202,0,-1,3,15,801,-1,"","",""
1020500,"","",10205,0,-1,3,15,801,-1,"","",""
1020700,"","",10207,0,-1,4,5,801,-1,"","",""
1020800,"","",10208,0,-1,4,5,801,-1,"","",""
1020900,"","",10209,0,-1,4,5,801,-1,"","",""
1021000,"","",10210,0,-1,4,5,801,-1,"","",""
1021700,"","",10217,0,-1,4,5,801,-1,"","",""
1030100,"","",10301,0,-1,4,12,801,-1,"","",""
1030200,"","",10302,0,-1,4,12,801,-1,"","",""
1030300,"","",10303,0,-1,4,12,801,-1,"","",""
1030400,"","",10304,0,-1,4,15,801,-1,"","",""
1030500,"","",10305,0,-1,4,15,206,-1,"","",""
1030600,"","",10306,0,-1,4,15,801,-1,"","",""
1030700,"","",10307,0,-1,4,15,801,-1,"","",""
1040100,"","",10401,0,-1,4,20,801,-1,"","",""
1040200,"","",10402,0,-1,4,25,801,-1,"","",""
1040300,"","",10403,0,-1,4,20,801,-1,"","",""
1040400,"","",10404,0,-1,3,17,801,-1,"","",""
1040500,"","",10405,0,-1,3,17,801,-1,"","",""
1040600,"","",10406,0,-1,3,17,801,-1,"","",""
1040700,"","",10407,0,-1,3,17,801,-1,"","",""
1040800,"","",10408,0,-1,3,17,801,-1,"","",""
1040900,"","",10409,0,-1,3,17,801,-1,"","",""
1041000,"","",10410,0,-1,3,17,801,-1,"","",""
1050100,"","",10501,0,-1,4,7,801,-1,"","",""
1050200,"","",10502,0,-1,4,10,801,-1,"","",""
1050300,"","",10503,0,-1,4,10,801,-1,"","",""
1050400,"","",10504,0,-1,4,10,801,-1,"","",""
1050500,"","",10505,0,-1,4,10,-1,-1,"","",""
1060300,"","",10603,0,-1,3,30,801,-1,"","",""
1060400,"","",10604,0,-1,3,30,801,-1,"","",""
1060500,"","",10605,0,-1,3,30,206,-1,"","",""
1060600,"","",10606,0,-1,4,26,801,-1,"","",""
1060700,"","",10607,0,-1,4,26,801,-1,"","",""
1060800,"","",10608,0,-1,4,28,206,-1,"","",""
1070100,"","",10701,0,-1,5,40,801,-1,"","",""
1070200,"","",10702,0,-1,5,40,-1,-1,"","",""
1070300,"","",10703,0,-1,5,40,801,-1,"","",""
1090100,"","",10901,0,-1,6,50,801,-1,"","",""
1090300,"","",10903,0,-1,6,50,801,-1,"","",""
1090400,"","",10904,0,-1,6,50,801,-1,"","",""
1090500,"","",10905,0,-1,6,50,801,-1,"","",""
1097100,"","",10971,0,-1,6,50,801,-1,"","",""
1097200,"","",10972,0,-1,6,50,801,-1,"","",""
1097300,"","",10973,0,-1,6,50,801,-1,"","",""
1097400,"","",10974,0,-1,6,50,801,-1,"","",""
1099000,"","",10990,0,-1,6,50,209,-1,"","",""
1099100,"","",10991,0,-1,6,50,207,-1,"","",""
1100100,"","",11001,0,-1,2,2,801,-1,"","",""
1100200,"","",11002,0,-1,3,3,801,-1,"","",""
1100300,"","",11003,0,-1,2,1,801,-1,"","",""
1100400,"","",11004,0,-1,3,3,801,-1,"","",""
1100500,"","",11005,0,-1,3,3,801,-1,"","",""
1110100,"","",11101,0,-1,3,9,801,-1,"","",""
1110200,"","",11102,0,-1,3,6,801,-1,"","",""
1110300,"","",11103,0,-1,3,17,801,-1,"","",""
1110400,"","",11104,0,-1,3,17,207,-1,"","",""
1120200,"","",11202,0,-1,4,25,801,-1,"","",""
1120300,"","",11203,0,-1,4,25,801,-1,"","",""
1130100,"","",11301,0,-1,5,25,801,-1,"","",""
