int32 0,string2 1,empty 2,int32 3,string2 4,string2 5,string2 6,int32 7,empty 8,string2 9,string2 10,string2 11,string2 12,int32 13,int32 14,int32 15,int32 16,int32 17,empty 18,int32 19,int32 20,empty 21,int32 22,int32 23,empty 24,int32 25,int32 26,int32 27,int32 28,empty 29,int32 30,int32 31,empty 32,int32 33,int32 34,empty 35,int32 36,empty 37
1,"char_ARENA_001",,1,"FLAG_FREEARENA_RELEASE_001","","FLAG_FREEARENA_WIN_001",-1,,"field_arena_before","Arena_Before_Battle_001","field_arena_after","Arena_After_Battle_001",30000100,-1,10000,0,2,,5,8,,5,-1,,0,2000,0,-1,,0,-1,,0,-1,,0,
2,"char_ARENA_002",,2,"FLAG_FREEARENA_RELEASE_002","","FLAG_FREEARENA_WIN_002",-1,,"field_arena_before","Arena_Before_Battle_002","field_arena_after","Arena_After_Battle_002",30000200,-1,10000,0,2,,5,8,,5,-1,,0,2000,0,-1,,0,-1,,0,-1,,0,
3,"char_ARENA_003",,3,"FLAG_FREEARENA_RELEASE_003","","FLAG_FREEARENA_WIN_003",-1,,"field_arena_before","Arena_Before_Battle_003","field_arena_after","Arena_After_Battle_003",30000300,-1,10000,0,2,,5,8,,5,-1,,0,2000,0,-1,,0,-1,,0,-1,,0,
4,"char_ARENA_004",,4,"FLAG_FREEARENA_RELEASE_004","","FLAG_FREEARENA_WIN_004",-1,,"field_arena_before","Arena_Before_Battle_004","field_arena_after","Arena_After_Battle_004",30000400,-1,10000,0,2,,5,8,,5,-1,,0,2000,0,-1,,0,-1,,0,-1,,0,
5,"char_ARENA_005",,5,"FLAG_FREEARENA_RELEASE_005","","FLAG_FREEARENA_WIN_005",-1,,"field_arena_before","Arena_Before_Battle_005","field_arena_after","Arena_After_Battle_005",30000500,-1,25000,0,5,,3,11,,1,-1,,0,5000,0,-1,,0,-1,,0,-1,,0,
6,"char_ARENA_006",,6,"FLAG_FREEARENA_RELEASE_006","","FLAG_FREEARENA_WIN_006",-1,,"field_arena_before","Arena_Before_Battle_006","field_arena_after","Arena_After_Battle_006",30000600,-1,25000,0,5,,3,11,,1,-1,,0,5000,0,-1,,0,-1,,0,-1,,0,
7,"char_ARENA_007",,7,"FLAG_FREEARENA_RELEASE_007","","FLAG_FREEARENA_WIN_007",-1,,"field_arena_before","Arena_Before_Battle_007","field_arena_after","Arena_After_Battle_007",30000700,-1,25000,0,5,,3,11,,1,-1,,0,5000,0,-1,,0,-1,,0,-1,,0,
8,"char_ARENA_008",,8,"FLAG_FREEARENA_RELEASE_008","","FLAG_FREEARENA_WIN_008",-1,,"field_arena_before","Arena_Before_Battle_008","field_arena_after","Arena_After_Battle_008",30000800,-1,25000,0,5,,3,11,,1,-1,,0,5000,0,-1,,0,-1,,0,-1,,0,
9,"char_ARENA_009",,9,"FLAG_FREEARENA_RELEASE_009","","FLAG_FREEARENA_WIN_009",-1,,"field_arena_before","Arena_Before_Battle_009","field_arena_after","Arena_After_Battle_009",30000900,-1,50000,0,916,,1,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
10,"char_ARENA_010",,10,"FLAG_FREEARENA_RELEASE_010","","FLAG_FREEARENA_WIN_010",-1,,"field_arena_before","Arena_Before_Battle_010","field_arena_after","Arena_After_Battle_010",30001000,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
11,"char_ARENA_011",,11,"FLAG_FREEARENA_RELEASE_011","","FLAG_FREEARENA_WIN_011",-1,,"field_arena_before","Arena_Before_Battle_011","field_arena_after","Arena_After_Battle_011",30001100,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
12,"char_ARENA_012",,12,"FLAG_FREEARENA_RELEASE_012","","FLAG_FREEARENA_WIN_012",-1,,"field_arena_before","Arena_Before_Battle_012","field_arena_after","Arena_After_Battle_012",30001200,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
13,"char_ARENA_013",,13,"FLAG_FREEARENA_RELEASE_013","","FLAG_FREEARENA_WIN_013",-1,,"field_arena_before","Arena_Before_Battle_013","field_arena_after","Arena_After_Battle_013",30001300,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
14,"char_ARENA_014",,14,"FLAG_FREEARENA_RELEASE_014","","FLAG_FREEARENA_WIN_014",-1,,"field_arena_before","Arena_Before_Battle_014","field_arena_after","Arena_After_Battle_014",30001400,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
15,"char_ARENA_015",,15,"FLAG_FREEARENA_RELEASE_015","","FLAG_FREEARENA_WIN_015",-1,,"field_arena_before","Arena_Before_Battle_015","field_arena_after","Arena_After_Battle_015",30001500,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
16,"char_ARENA_016",,16,"FLAG_FREEARENA_RELEASE_016","","FLAG_FREEARENA_WIN_016",-1,,"field_arena_before","Arena_Before_Battle_016","field_arena_after","Arena_After_Battle_016",30001600,-1,100000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
17,"char_ARENA_017",,17,"FLAG_FREEARENA_RELEASE_017","","FLAG_FREEARENA_WIN_017",111,,"field_arena_before","Arena_Before_Battle_017","field_arena_after","Arena_After_Battle_017",30001700,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
18,"char_ARENA_018",,23,"FLAG_FREEARENA_RELEASE_018","","FLAG_FREEARENA_WIN_018",300,,"field_arena_before","Arena_Before_Battle_018","field_arena_after","Arena_After_Battle_018",30002200,-1,300000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
19,"char_ARENA_019",,18,"FLAG_FREEARENA_RELEASE_019","","FLAG_FREEARENA_WIN_019",89,,"field_arena_before","Arena_Before_Battle_019","field_arena_after","Arena_After_Battle_019",30001800,-1,50000,0,-1,,0,-1,,0,-1,,0,10000,0,-1,,0,-1,,0,-1,,0,
