int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
103020011,-1,1,"rumor_001",21,21,10,"r_d0302_0010_0010",,
103020021,-1,1,"rumor_002",18,18,10,"r_d0302_0010_0020",,
103020031,-1,1,"rumor_003",15,15,10,"r_d0302_0010_0030",,
103020041,-1,1,"rumor_004",10,10,10,"r_d0302_0010_0040",,
103020051,-1,1,"rumor_005",15,15,10,"r_d0302_0010_0050",,
103020061,-1,1,"rumor_006",15,15,10,"r_d0302_0010_0060",,
103020071,-1,1,"rumor_007",20,20,10,"r_d0302_0010_0070",,
103020081,-1,1,"rumor_008",20,20,10,"r_d0302_0010_0080",,
103020091,-1,1,"rumor_009",20,20,10,"r_d0302_0010_0090",,
103020101,-1,0,"s020_173_001",13,13,10,"r_d0302_0010_0100",,
103020141,-1,0,"rumor_014",15,15,10,"r_d0302_0010_0140",,
103020151,-1,1,"rumor_015",15,15,10,"r_d0302_0010_0150",,
103020161,-1,1,"rumor_016",15,15,10,"r_d0302_0010_0160",,
103020171,-1,1,"rumor_017",15,15,10,"r_d0302_0010_0170",,
103020181,-1,1,"rumor_018",15,15,10,"r_d0302_0010_0180",,
103020191,-1,1,"rumor_019",15,15,10,"r_d0302_0010_0190",,
103020201,-1,1,"rumor_020",15,15,10,"r_d0302_0010_0200",,
103020211,-1,1,"rumor_021",15,15,10,"r_d0302_0010_0210",,
