int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,21,16,9,9,12,10,7
3,21,16,9,9,12,10,7
4,21,16,9,9,12,10,7
5,21,16,9,9,12,10,7
6,21,16,9,9,12,10,7
7,21,16,9,9,12,10,7
8,21,16,9,9,12,10,7
9,21,16,9,9,12,10,7
10,21,16,9,9,12,10,7
11,21,16,9,9,12,10,7
12,21,16,9,9,12,10,7
13,21,16,9,9,12,10,7
14,21,16,9,9,12,10,7
15,21,16,9,9,12,10,7
16,21,16,9,9,12,10,7
17,21,16,9,9,12,10,7
18,21,16,9,9,12,10,7
19,21,16,9,9,12,10,7
20,21,16,9,9,12,10,7
21,21,16,9,9,12,10,7
22,21,16,9,9,12,10,7
23,21,16,9,9,12,10,7
24,21,16,9,9,12,10,7
25,21,16,9,9,12,10,7
26,21,16,9,9,12,10,7
27,21,16,9,9,12,10,7
28,21,16,9,9,12,10,7
29,21,16,9,9,12,10,7
30,21,16,9,9,12,10,7
31,21,16,9,9,12,10,7
32,21,16,9,9,12,10,7
33,21,16,9,9,12,10,7
34,21,16,9,9,12,10,7
35,21,16,9,9,12,10,7
36,9,7,4,4,6,4,3
37,9,7,4,4,6,4,3
38,9,7,4,4,6,4,3
39,9,7,4,4,6,4,3
40,9,7,4,4,6,4,3
41,9,7,4,4,6,4,3
42,9,7,4,4,6,4,3
43,9,7,4,4,6,4,3
44,9,7,4,4,6,4,3
45,9,7,4,4,6,4,3
46,9,7,4,4,6,4,3
47,9,7,4,4,6,4,3
48,9,7,4,4,6,4,3
49,9,7,4,4,6,4,3
50,9,7,4,4,6,4,3
51,9,7,4,4,6,4,3
52,9,7,4,4,6,4,3
53,9,7,4,4,6,4,3
54,9,7,4,4,6,4,3
55,9,7,4,4,6,4,3
56,9,7,4,4,6,4,3
57,9,7,4,4,6,4,3
58,9,7,4,4,6,4,3
59,9,7,4,4,6,4,3
60,9,7,4,4,6,4,3
61,9,7,4,4,6,4,3
62,9,7,4,4,6,4,3
63,9,7,4,4,6,4,3
64,9,7,4,4,6,4,3
65,9,7,4,4,6,4,3
66,9,7,4,4,6,4,3
67,9,7,4,4,6,4,3
68,9,7,4,4,6,4,3
69,9,7,4,4,6,4,3
70,9,7,4,4,6,4,3
71,7,6,3,3,4,3,2
72,7,6,3,3,4,3,2
73,7,6,3,3,4,3,2
74,7,6,3,3,4,3,2
75,7,6,3,3,4,3,2
76,7,6,3,3,4,3,2
77,7,6,3,3,4,3,2
78,7,6,3,3,4,3,2
79,7,6,3,3,4,3,2
80,7,6,3,3,4,3,2
81,7,6,3,3,4,3,2
82,7,6,3,3,4,3,2
83,7,6,3,3,4,3,2
84,7,6,3,3,4,3,2
85,7,6,3,3,4,3,2
86,7,6,3,3,4,3,2
87,7,6,3,3,4,3,2
88,7,6,3,3,4,3,2
89,7,6,3,3,4,3,2
90,7,6,3,3,4,3,2
91,7,6,3,3,4,3,2
92,7,6,3,3,4,3,2
93,7,6,3,3,4,3,2
94,7,6,3,3,4,3,2
95,7,6,3,3,4,3,2
96,7,6,3,3,4,3,2
97,7,6,3,3,4,3,2
98,7,6,3,3,4,3,2
99,7,6,3,3,4,3,2
