int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,19,10,9,7,7,6,8
3,19,10,9,7,7,6,8
4,19,10,9,7,7,6,8
5,19,10,9,7,7,6,8
6,19,10,9,7,7,6,8
7,19,10,9,7,7,6,8
8,19,10,9,7,7,6,8
9,19,10,9,7,7,6,8
10,19,10,9,7,7,6,8
11,19,10,9,7,7,6,8
12,19,10,9,7,7,6,8
13,19,10,9,7,7,6,8
14,19,10,9,7,7,6,8
15,19,10,9,7,7,6,8
16,19,10,9,7,7,6,8
17,19,10,9,7,7,6,8
18,19,10,9,7,7,6,8
19,19,10,9,7,7,6,8
20,19,10,9,7,7,6,8
21,19,10,9,7,7,6,8
22,19,10,9,7,7,6,8
23,19,10,9,7,7,6,8
24,19,10,9,7,7,6,8
25,19,10,9,7,7,6,8
26,19,10,9,7,7,6,8
27,19,10,9,7,7,6,8
28,19,10,9,7,7,6,8
29,19,10,9,7,7,6,8
30,19,10,9,7,7,6,8
31,19,10,9,7,7,6,8
32,19,10,9,7,7,6,8
33,19,10,9,7,7,6,8
34,19,10,9,7,7,6,8
35,19,10,9,7,7,6,8
36,19,10,9,7,7,6,8
37,19,10,9,7,7,6,8
38,19,10,9,7,7,6,8
39,19,10,9,7,7,6,8
40,19,10,9,7,7,6,8
41,19,10,9,7,7,6,8
42,19,10,9,7,7,6,8
43,19,10,9,7,7,6,8
44,19,10,9,7,7,6,8
45,19,10,9,7,7,6,8
46,19,10,9,7,7,6,8
47,19,10,9,7,7,6,8
48,19,10,9,7,7,6,8
49,19,10,9,7,7,6,8
50,19,10,9,7,7,6,8
51,18,11,10,7,8,6,7
52,18,11,10,7,8,6,7
53,18,11,10,7,8,6,7
54,18,11,10,7,8,6,7
55,18,11,10,7,8,6,7
56,18,11,10,7,8,6,7
57,18,11,10,7,8,6,7
58,18,11,10,7,8,6,7
59,18,11,10,7,8,6,7
60,18,11,10,7,8,6,7
61,18,11,10,7,8,6,7
62,18,11,10,7,8,6,7
63,18,11,10,7,8,6,7
64,18,11,10,7,8,6,7
65,18,11,10,7,8,6,7
66,18,11,10,7,8,6,7
67,18,11,10,7,8,6,7
68,18,11,10,7,8,6,7
69,18,11,10,7,8,6,7
70,18,11,10,7,8,6,7
71,7,5,4,2,3,2,3
72,7,5,4,2,3,2,3
73,7,5,4,2,3,2,3
74,7,5,4,2,3,2,3
75,7,5,4,2,3,2,3
76,7,5,4,2,3,2,3
77,7,5,4,2,3,2,3
78,7,5,4,2,3,2,3
79,7,5,4,2,3,2,3
80,7,5,4,2,3,2,3
81,7,5,4,2,3,2,3
82,7,5,4,2,3,2,3
83,7,5,4,2,3,2,3
84,7,5,4,2,3,2,3
85,7,5,4,2,3,2,3
86,7,5,4,2,3,2,3
87,7,5,4,2,3,2,3
88,7,5,4,2,3,2,3
89,7,5,4,2,3,2,3
90,7,5,4,2,3,2,3
91,7,5,4,2,3,2,3
92,7,5,4,2,3,2,3
93,7,5,4,2,3,2,3
94,7,5,4,2,3,2,3
95,7,5,4,2,3,2,3
96,7,5,4,2,3,2,3
97,7,5,4,2,3,2,3
98,7,5,4,2,3,2,3
99,7,5,4,2,3,2,3
