int 0,string3 1,int 2,string2 3,bool 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,string2 12,float 13,float 14,string2 15,float 16,float 17,float 18,float 19,float 20
10202005,"",-1,"gim_0005",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202006,"",-1,"gim_0006",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202300,"",-1,"ride_zip_0010",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202301,"",-1,"ride_zip_0011",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202400,"",-1,"change_0001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202401,"",-1,"change_0002",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202402,"",1,"change_0003",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202403,"",99,"theater_0001",0,"f00theaterdoor00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202404,"",-1,"start_50",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202500,"",2,"gim_1000",0,"d0202dust01",1,0,"","","","","",0,0,"",0,0,0,0,0
10202501,"",3,"gim_1001",0,"d0202dust01",1,0,"","","","","",0,0,"",0,0,0,0,0
10202502,"",4,"gim_1002",0,"d0202dust01",1,0,"","","","","",0,0,"",0,0,0,0,0
10202503,"",5,"gim_1003",0,"d0202dust01",1,0,"","","","","",0,0,"",0,0,0,0,0
10202504,"",6,"gim_1004",0,"d0202dust01",1,0,"","","","","",0,0,"",0,0,0,0,0
10202600,"",-1,"gim_2000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202601,"",-1,"gim_2001",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
10202800,"",-1,"gim_8000",0,"f00iconobj00",1,0,"","","","","",0,0,"",0,0,0,0,0
