int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1040701,"rumor_0001","chr042",0,0,"","","f000","",0,0,1,1,1,-9.67,-1.139,26.052,72.841,0,0,1,1,6,15,2.5,-1,"","",""
1040702,"rumor_0002","chr042",0,0,"","","f000","",0,0,1,2,2,-27.202,-1.971,9.374,72.841,0,0,1,1,6,25,4,-1,"","",""
1040703,"rumor_0003","chr042",0,0,"","","f000","",0,0,1,3,3,-28.464,-1.976,-9.181,72.841,0,0,1,1,6,25,3,-1,"","",""
1040704,"rumor_0004","chr042",0,0,"","","f000","",0,0,1,4,4,-13.372,-1.987,-24.557,72.841,0,0,1,1,6,25,4,-1,"","",""
1040705,"rumor_0005","chr042",0,0,"","","f000","",0,0,1,5,5,9.373,-0.792,-35.859,72.841,0,0,1,1,6,35,4,-1,"","",""
1040706,"rumor_0006","chr042",0,0,"","","f000","",0,0,1,6,6,14.91,-0.801,-25.683,72.841,0,0,1,1,6,25,1.5,-1,"","",""
1040707,"rumor_0007","chr042",0,0,"","","f000","",0,0,1,7,7,21.654,-1.594,-19.416,72.841,0,0,1,1,6,16,4,-1,"","",""
1040708,"rumor_0008","chr042",0,0,"","","f000","",0,0,1,8,8,31.375,-1.479,-2.354,72.841,0,0,1,1,6,23,2.5,-1,"","",""
1040709,"rumor_0009","chr042",0,0,"","","f000","",0,0,1,9,9,29.042,-3.105,9.767,72.841,0,0,1,1,6,25,4,-1,"","",""
1040710,"rumor_0010","chr042",0,0,"","","f000","",0,0,1,10,10,17.36,-1.852,24.396,72.841,0,0,1,1,6,25,4,-1,"","",""
1040711,"rumor_0011","chr042",0,0,"","","f000","",0,0,2,11,11,-9.67,-1.139,26.052,72.841,0,0,1,1,6,15,2.5,-1,"","",""
1040712,"rumor_0012","chr042",0,0,"","","f000","",0,0,2,12,12,-27.202,-1.971,9.374,72.841,0,0,1,1,6,25,4,-1,"","",""
1040713,"rumor_0013","chr042",0,0,"","","f000","",0,0,2,13,13,-28.464,-1.976,-9.181,72.841,0,0,1,1,6,25,3,-1,"","",""
1040714,"rumor_0014","chr042",0,0,"","","f000","",0,0,2,14,14,-13.372,-1.987,-24.557,72.841,0,0,1,1,6,25,4,-1,"","",""
1040715,"rumor_0015","chr042",0,0,"","","f000","",0,0,2,15,15,9.373,-0.792,-35.859,72.841,0,0,1,1,6,35,4,-1,"","",""
1040716,"rumor_0016","chr042",0,0,"","","f000","",0,0,2,16,16,14.91,-0.801,-25.683,72.841,0,0,1,1,6,25,1.5,-1,"","",""
1040717,"rumor_0017","chr042",0,0,"","","f000","",0,0,2,17,17,21.654,-1.594,-19.416,72.841,0,0,1,1,6,16,4,-1,"","",""
1040718,"rumor_0018","chr042",0,0,"","","f000","",0,0,2,18,18,31.375,-1.479,-2.354,72.841,0,0,1,1,6,23,2.5,-1,"","",""
1040719,"rumor_0019","chr042",0,0,"","","f000","",0,0,2,19,19,29.042,-3.105,9.767,72.841,0,0,1,1,6,25,4,-1,"","",""
1040720,"rumor_0020","chr042",0,0,"","","f000","",0,0,2,20,20,17.36,-1.852,24.396,72.841,0,0,1,1,6,25,4,-1,"","",""
1040721,"rumor_0021","chr042",0,0,"","","f000","",0,0,3,21,21,-9.67,-1.139,26.052,72.841,0,0,1,1,6,15,2.5,-1,"","",""
1040722,"rumor_0022","chr042",0,0,"","","f000","",0,0,3,22,22,-27.202,-1.971,9.374,72.841,0,0,1,1,6,25,4,-1,"","",""
1040723,"rumor_0023","chr042",0,0,"","","f000","",0,0,3,23,23,-28.464,-1.976,-9.181,72.841,0,0,1,1,6,25,3,-1,"","",""
1040724,"rumor_0024","chr042",0,0,"","","f000","",0,0,3,24,24,-13.372,-1.987,-24.557,72.841,0,0,1,1,6,25,4,-1,"","",""
1040725,"rumor_0025","chr042",0,0,"","","f000","",0,0,3,25,25,9.373,-0.792,-35.859,72.841,0,0,1,1,6,35,4,-1,"","",""
1040726,"rumor_0026","chr042",0,0,"","","f000","",0,0,3,26,26,14.91,-0.801,-25.683,72.841,0,0,1,1,6,25,1.5,-1,"","",""
1040727,"rumor_0027","chr042",0,0,"","","f000","",0,0,3,27,27,21.654,-1.594,-19.416,72.841,0,0,1,1,6,16,4,-1,"","",""
1040728,"rumor_0028","chr042",0,0,"","","f000","",0,0,3,28,28,31.375,-1.479,-2.354,72.841,0,0,1,1,6,23,2.5,-1,"","",""
1040729,"rumor_0029","chr042",0,0,"","","f000","",0,0,3,29,29,29.042,-3.105,9.767,72.841,0,0,1,1,6,25,4,-1,"","",""
1040730,"rumor_0030","chr042",0,0,"","","f000","",0,0,3,30,30,17.36,-1.852,24.396,72.841,0,0,1,1,6,25,4,-1,"","",""
1040731,"rumor_0031","chr375",0,0,"","","f000","",0,0,4,31,31,-7.82,0,-32.928,58.529,0,0,1,1,6,25,0.5,-1,"","",""
