int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7
1,0,0,0,0,0,0,0
2,24,14,12,10,9,9,7
3,24,14,12,10,9,9,7
4,24,14,12,10,9,9,7
5,24,14,12,10,9,9,7
6,24,14,12,10,9,9,7
7,24,14,12,10,9,9,7
8,24,14,12,10,9,9,7
9,24,14,12,10,9,9,7
10,24,14,12,10,9,9,7
11,24,14,12,10,9,9,7
12,24,14,12,10,9,9,7
13,24,14,12,10,9,9,7
14,24,14,12,10,9,9,7
15,24,14,12,10,9,9,7
16,24,14,12,10,9,9,7
17,24,14,12,10,9,9,7
18,24,14,12,10,9,9,7
19,24,14,12,10,9,9,7
20,24,14,12,10,9,9,7
21,24,14,12,10,9,9,7
22,24,14,12,10,9,9,7
23,24,14,12,10,9,9,7
24,24,14,12,10,9,9,7
25,24,14,12,10,9,9,7
26,24,14,12,10,9,9,7
27,24,14,12,10,9,9,7
28,24,14,12,10,9,9,7
29,24,14,12,10,9,9,7
30,24,14,12,10,9,9,7
31,24,14,12,10,9,9,7
32,24,14,12,10,9,9,7
33,24,14,12,10,9,9,7
34,24,14,12,10,9,9,7
35,24,14,12,10,9,9,7
36,10,6,5,4,5,4,3
37,10,6,5,4,5,4,3
38,10,6,5,4,5,4,3
39,10,6,5,4,5,4,3
40,10,6,5,4,5,4,3
41,10,6,5,4,5,4,3
42,10,6,5,4,5,4,3
43,10,6,5,4,5,4,3
44,10,6,5,4,5,4,3
45,10,6,5,4,5,4,3
46,10,6,5,4,5,4,3
47,10,6,5,4,5,4,3
48,10,6,5,4,5,4,3
49,10,6,5,4,5,4,3
50,10,6,5,4,5,4,3
51,10,6,5,4,5,4,3
52,10,6,5,4,5,4,3
53,10,6,5,4,5,4,3
54,10,6,5,4,5,4,3
55,10,6,5,4,5,4,3
56,10,6,5,4,5,4,3
57,10,6,5,4,5,4,3
58,10,6,5,4,5,4,3
59,10,6,5,4,5,4,3
60,10,6,5,4,5,4,3
61,10,6,5,4,5,4,3
62,10,6,5,4,5,4,3
63,10,6,5,4,5,4,3
64,10,6,5,4,5,4,3
65,10,6,5,4,5,4,3
66,10,6,5,4,5,4,3
67,10,6,5,4,5,4,3
68,10,6,5,4,5,4,3
69,10,6,5,4,5,4,3
70,10,6,5,4,5,4,3
71,7,5,4,3,3,3,2
72,7,5,4,3,3,3,2
73,7,5,4,3,3,3,2
74,7,5,4,3,3,3,2
75,7,5,4,3,3,3,2
76,7,5,4,3,3,3,2
77,7,5,4,3,3,3,2
78,7,5,4,3,3,3,2
79,7,5,4,3,3,3,2
80,7,5,4,3,3,3,2
81,7,5,4,3,3,3,2
82,7,5,4,3,3,3,2
83,7,5,4,3,3,3,2
84,7,5,4,3,3,3,2
85,7,5,4,3,3,3,2
86,7,5,4,3,3,3,2
87,7,5,4,3,3,3,2
88,7,5,4,3,3,3,2
89,7,5,4,3,3,3,2
90,7,5,4,3,3,3,2
91,7,5,4,3,3,3,2
92,7,5,4,3,3,3,2
93,7,5,4,3,3,3,2
94,7,5,4,3,3,3,2
95,7,5,4,3,3,3,2
96,7,5,4,3,3,3,2
97,7,5,4,3,3,3,2
98,7,5,4,3,3,3,2
99,7,5,4,3,3,3,2
