int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
112040021,-1,1,"rumor_001",15,15,10,"r_d1204_0010_0010",,
112040031,-1,1,"rumor_002",15,15,10,"r_d1204_0010_0020",,
112040041,-1,1,"rumor_003",15,15,10,"r_d1204_0010_0030",,
112040051,-1,1,"rumor_004",15,15,10,"r_d1204_0010_0040",,
112040061,-1,1,"rumor_005",15,15,10,"r_d1204_0010_0050",,
112040071,-1,1,"rumor_006",15,15,10,"r_d1204_0010_0060",,
112040081,-1,1,"rumor_007",17,17,10,"r_d1204_0010_0070",,
112040091,-1,1,"rumor_008",18.5,18.5,10,"r_d1204_0010_0080",,
112040101,-1,0,"npc_0057",15,15,10,"r_d1204_0010_0090",,
112040111,-1,0,"npc_0215",15,15,10,"r_d1204_0010_0100",,
112040121,-1,1,"rumor_009",15,15,10,"r_d1204_0010_0110",,
112040131,-1,1,"rumor_010",15,15,10,"r_d1204_0010_0120",,
112040141,-1,1,"rumor_011",15,15,10,"r_d1204_0010_0130",,
112040151,-1,1,"rumor_012",15,15,10,"r_d1204_0010_0140",,
112040161,-1,1,"rumor_013",15,15,10,"r_d1204_0010_0150",,
112040171,-1,1,"rumor_014",15,15,10,"r_d1204_0010_0160",,
112040181,-1,1,"rumor_015",10,10,10,"r_d1204_0010_0170",,
112040191,-1,1,"rumor_016",15,15,10,"r_d1204_0010_0180",,
