int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1030201,"","chr399",0,0,"","","f000","",0,0,99,1,1,15.752,6.059,78.341,-120.2,0,5,1,1,21,21,0.2,-1,"","",""
1030202,"","chr240",0,0,"","","fe02","",0,0,99,2,2,-0.304,3.628,51.535,-253.192,0,5,1,1,18,18,0.2,-1,"","",""
1030203,"","chr709",0,0,"","","f000","",0,0,99,3,3,32.985,0.87,72.327,-288.975,0,5,1,1,15,15,1.5,-1,"","",""
1030204,"","chr709",0,0,"","","fe04","",0,0,99,4,4,44.52,3.059,72.404,-322.52,0,0,1,1,10,10,0.3,-1,"","",""
1030205,"","chr399",0,0,"","","bn01","",0,0,99,5,5,-27.371,4.052,68.631,-54.299,0,1,1,1,15,15,0.1,-1,"","",""
1030206,"","chr240",0,0,"","","fq02","",0,0,99,6,6,-28.421,4.052,73.95,-155.853,0,5,1,1,15,15,0.2,-1,"","",""
1030207,"","chr240",0,0,"","","fe04","",0,0,99,7,7,63.234,4.217,35.098,-342.628,0,0,1,1,20,20,0.2,-1,"","",""
1030208,"","chr594",0,0,"","","fe04","",0,0,99,8,8,60.131,4.217,40.291,-262.283,0,0,1,1,20,20,0.1,-1,"","",""
1030209,"","chr709",0,0,"","","fe02","",0,0,99,9,9,55.538,5.61,42.974,-251.174,0,5,1,1,20,20,1,-1,"","",""
1030210,"","chr024",0,0,"","","fe02","",0,0,99,10,10,64.584,4.9,40.249,-110.81,0,0,1,1,13,13,0.3,-1,"","",""
1030211,"","chr240",0,0,"","","bn02","",0,0,99,11,11,0.635,3.567,51.357,-577.639,0,5,1,1,15,15,0.2,-1,"","",""
1030212,"","chr389",0,0,"","","e570","",0,0,99,12,12,-0.803,3.88,76.218,-382.508,0,5,1,1,13,13,0.2,-1,"","",""
1030213,"","chr709",0,0,"","","f000","",0,0,99,13,13,-31.788,3.993,73.397,-280.223,0,5,1,1,11,11,0.2,-1,"","",""
1030214,"rumor_0200","chr375",0,0,"","","f000","",0,0,99,14,14,-11.337,5.971,23.283,-765.071,0,5,1,1,10,10,-0.2,-1,"","",""
