int 0,empty 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,empty 18,int 19,int 20,int 21,int 22,empty 23,int 24,empty 25,int 26,int 27,empty 28,int 29
1,"",5,0,1610,0,0,0,0,1010,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
2,"",1,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
3,"",3,0,0,470,0,0,0,0,640,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
4,"",5,0,1530,0,0,0,0,1000,890,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
5,"",3,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
6,"",5,0,0,0,0,0,870,960,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
9,"",1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
10,"",3,0,0,0,530,0,0,450,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
11,"",3,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
12,"",3,0,0,0,0,300,0,0,400,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
13,"",3,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
14,"",3,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
15,"",3,0,0,0,0,300,0,0,470,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
16,"",3,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
17,"",3,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
19,"",7,0,2700,0,2220,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
20,"",1,0,0,280,0,0,0,0,180,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
21,"",5,0,1800,0,0,0,990,960,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
23,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",91,"",7,365,"",2
24,"",7,0,0,0,0,0,1800,2040,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
25,"",3,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
26,"",5,0,0,0,960,0,0,0,960,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
27,"",7,0,2350,0,2430,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
28,"",5,0,1650,0,0,940,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
30,"",3,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
31,"",5,0,0,0,0,0,0,890,1100,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
32,"",7,0,0,1140,1300,0,1590,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
33,"",5,0,0,0,970,1060,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
34,"",7,0,0,1300,0,0,2180,0,1860,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
35,"",7,0,2500,0,2340,0,0,0,1330,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
36,"",7,0,0,1060,0,0,2290,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
37,"",7,0,2860,0,2000,1430,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
38,"",7,0,2000,0,1970,0,1900,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
39,"",7,0,0,920,0,0,1820,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
40,"",8,0,4680,0,2070,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
41,"",5,0,0,0,0,860,850,900,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
42,"",1,0,0,0,0,0,200,0,170,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
43,"",3,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
44,"",5,0,0,620,0,940,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
45,"",10,0,0,0,0,0,0,0,0,0,0,46,46,46,46,0,"",0,0,0,0,"",0,"",0,0,"",0
46,"",10,0,0,0,0,0,0,0,0,0,0,46,46,46,46,0,"",0,0,0,0,"",0,"",0,0,"",0
47,"",7,0,2960,0,2290,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
48,"",7,0,2690,0,0,0,1660,1380,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
49,"",7,0,2620,0,2290,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
50,"",1,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
51,"",3,0,940,0,0,0,0,450,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
52,"",1,0,400,0,0,180,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
53,"",1,0,0,480,0,0,250,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"",0,"",0,0,"",0
