int 0,int 1,empty 2,string2 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17,int 18,int 19
1,1,"","bs01",0,0,9,1,57,2,0,-1,0,-1,0,-1,0,-1,0,-1
2,1,"","bv01",0,0,9,2,23,1,28,0,0,-1,0,-1,0,-1,0,-1
3,2,"","bv01",0,0,54,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
4,2,"","bs01",0,0,49,1,94,0,0,-1,0,-1,0,-1,0,-1,0,-1
5,3,"","bv01",0,2,43,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
6,5,"","bs01",0,3,44,1,64,3,0,-1,0,-1,0,-1,0,-1,0,-1
7,9,"","bv01",0,3,60,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
8,12,"","bs01",0,0,37,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
9,12,"","bs02",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
10,13,"","bs01",0,0,30,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
11,13,"","bv01",0,0,44,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
12,17,"","bs01",0,3,19,0,44,3,0,-1,0,-1,0,-1,0,-1,0,-1
13,24,"","bv01",0,0,67,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
14,24,"","bs01",0,0,13,1,48,0,0,-1,0,-1,0,-1,0,-1,0,-1
15,24,"","bs02",0,0,77,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
16,28,"","bs02",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
17,34,"","bv01",0,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
18,34,"","bs01",0,0,81,1,104,0,0,-1,0,-1,0,-1,0,-1,0,-1
19,39,"","bs01",0,0,16,1,44,0,111,3,0,-1,0,-1,0,-1,0,-1
20,39,"","bs02",0,1,11,3,149,0,206,3,0,-1,0,-1,0,-1,0,-1
21,39,"","bv01",0,0,8,1,22,0,0,-1,0,-1,0,-1,0,-1,0,-1
22,41,"","bs01",0,0,60,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
23,42,"","bs01",0,0,60,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
24,44,"","bs01",0,0,44,3,89,0,105,2,0,-1,0,-1,0,-1,0,-1
25,44,"","bs02",0,0,44,3,89,0,105,2,0,-1,0,-1,0,-1,0,-1
26,45,"","bv01",0,1,33,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
27,48,"","bv01",0,0,48,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
28,50,"","bs01",0,1,11,0,35,3,0,-1,0,-1,0,-1,0,-1,0,-1
29,50,"","bs02",0,1,6,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
30,50,"","bv01",0,2,46,3,47,0,0,-1,0,-1,0,-1,0,-1,0,-1
31,51,"","bs01",0,0,17,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
32,51,"","bv01",0,3,20,1,68,0,0,-1,0,-1,0,-1,0,-1,0,-1
33,55,"","bv01",0,0,36,2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
34,56,"","bs01",0,0,27,3,43,0,0,-1,0,-1,0,-1,0,-1,0,-1
35,60,"","bv01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
36,75,"","bs01",0,0,32,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
37,75,"","bv01",0,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
38,81,"","bs01",0,0,15,2,60,0,0,-1,0,-1,0,-1,0,-1,0,-1
39,81,"","bv01",0,0,56,3,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
