int 0,int 1,int 2,int 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,int 13,int 14,int 15,int 16,int 17
1,1,7000,1500,1500,1500,0,400,400,400,0,400,400,400,0,200,200,200
2,2,0,8500,1500,1500,0,400,400,400,0,400,400,400,0,200,200,200
3,3,0,1500,8500,1500,0,400,400,400,0,400,400,400,0,200,200,200
4,4,0,1500,1500,8500,0,400,400,400,0,400,400,400,0,200,200,200
5,5,0,400,400,400,7000,1500,1500,1500,0,200,200,200,0,400,400,400
6,6,0,400,400,400,0,8500,1500,1500,0,200,200,200,0,400,400,400
7,7,0,400,400,400,0,1500,8500,1500,0,200,200,200,0,400,400,400
8,8,0,400,400,400,0,1500,1500,8500,0,200,200,200,0,400,400,400
9,9,0,400,400,400,0,200,200,200,7000,1500,1500,1500,0,400,400,400
10,10,0,400,400,400,0,200,200,200,0,8500,1500,1500,0,400,400,400
11,11,0,400,400,400,0,200,200,200,0,1500,8500,1500,0,400,400,400
12,12,0,400,400,400,0,200,200,200,0,1500,1500,8500,0,400,400,400
13,13,0,200,200,200,0,400,400,400,0,400,400,400,7000,1500,1500,1500
14,14,0,200,200,200,0,400,400,400,0,400,400,400,0,8500,1500,1500
15,15,0,200,200,200,0,400,400,400,0,400,400,400,0,1500,8500,1500
16,16,0,200,200,200,0,400,400,400,0,400,400,400,0,1500,1500,8500
