int32 0,int32 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17
1,1,7000,1500,1500,1500,0,400,400,400,0,400,400,400,0,200,200,200
2,2,0,8500,1500,1500,0,400,400,400,0,400,400,400,0,200,200,200
3,3,0,1500,8500,1500,0,400,400,400,0,400,400,400,0,200,200,200
4,4,0,1500,1500,8500,0,400,400,400,0,400,400,400,0,200,200,200
5,5,0,400,400,400,7000,1500,1500,1500,0,200,200,200,0,400,400,400
6,6,0,400,400,400,0,8500,1500,1500,0,200,200,200,0,400,400,400
7,7,0,400,400,400,0,1500,8500,1500,0,200,200,200,0,400,400,400
8,8,0,400,400,400,0,1500,1500,8500,0,200,200,200,0,400,400,400
9,9,0,400,400,400,0,200,200,200,7000,1500,1500,1500,0,400,400,400
10,10,0,400,400,400,0,200,200,200,0,8500,1500,1500,0,400,400,400
11,11,0,400,400,400,0,200,200,200,0,1500,8500,1500,0,400,400,400
12,12,0,400,400,400,0,200,200,200,0,1500,1500,8500,0,400,400,400
13,13,0,200,200,200,0,400,400,400,0,400,400,400,7000,1500,1500,1500
14,14,0,200,200,200,0,400,400,400,0,400,400,400,0,8500,1500,1500
15,15,0,200,200,200,0,400,400,400,0,400,400,400,0,1500,8500,1500
16,16,0,200,200,200,0,400,400,400,0,400,400,400,0,1500,1500,8500
