int 0,string3 1,string3 2,int 3,int 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int 11,int 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1020101,"","chr708",0,0,"","","fq02","",0,0,2,1,1,-23.153,2.127,39.951,205.395,0,0,1,1,0,16.5,0,-1,"","",""
1020102,"","chr220",0,0,"","","fq01","",0,0,99,2,2,9.25,3.543,-63.479,24.072,0,0,1,1,0,7,0,-1,"","",""
1020103,"","chr055",0,0,"","","fe04","",0,0,4,3,3,5.917,3.516,-68.969,187.914,0,0,1,1,0,12,0,-1,"","",""
1020104,"","chr114",0,0,"","","fe02","",0,0,4,4,4,-0.709,3.516,-74.596,177.767,0,0,1,1,0,9.5,0,-1,"","",""
1020105,"","chr369",0,0,"","","bn01","",0,0,4,5,5,-4.918,3.609,-50.907,115.61,0,0,1,1,0,18,0,-1,"","",""
1020106,"","chr388",0,0,"","","bn01","",0,0,2,6,6,3.26,2.056,36.799,137.36,0,0,1,1,0,20,0.3,-1,"","",""
1020107,"","chr388",0,0,"","","fe02","",0,0,3,7,7,2.711,3.074,23.142,-347.119,0,0,1,1,0,10,0.3,-1,"","",""
1020108,"","chr456",0,0,"","","fq01","",0,0,3,8,8,-0.541,1.999,28.518,-304.883,0,0,1,1,0,8,0,-1,"","",""
1020109,"","chr708",0,0,"","","fe02","",0,0,3,9,9,4.453,3.502,-3.682,139.623,0,0,1,1,0,16.5,0.5,-1,"","",""
1020110,"","chr623",0,0,"","","fe02","",0,0,3,10,10,4.869,2.056,37.195,12.714,0,0,1,1,0,15,0.5,-1,"","",""
1020111,"","chr241",0,0,"","","bn02","",0,0,1,11,11,-7.763,7.697,-7.51,49.078,0,0,1,1,0,5,0,-1,"","",""
1020112,"","chr079",0,0,"","","fe02","",0,0,3,12,12,-2.823,2,32.407,-334.094,0,0,1,1,0,11,1,-1,"","",""
