int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
208110011,-1,3,"enemy_001S",20,20,60,"r_h0811_0010_0010",,
208110021,-1,3,"enemy_002S",20,20,60,"r_h0811_0010_0020",,
208110031,-1,3,"enemy_003M",20,20,60,"r_h0811_0010_0030",,
208110041,-1,3,"enemy_004M",20,20,60,"r_h0811_0010_0040",,
208110051,-1,3,"enemy_005M",20,20,60,"r_h0811_0010_0050",,
208110061,-1,3,"enemy_006S",20,20,60,"r_h0811_0010_0060",,
208110071,-1,3,"enemy_007M",20,20,60,"r_h0811_0010_0070",,
208110081,-1,3,"enemy_008M",20,20,60,"r_h0811_0010_0080",,
208110091,-1,3,"enemy_009L",20,20,60,"r_h0811_0010_0090",,
208110101,-1,3,"enemy_010M",20,20,60,"r_h0811_0010_0100",,
208110111,-1,3,"enemy_011L",20,20,60,"r_h0811_0010_0110",,
208110121,-1,3,"enemy_012M",20,20,60,"r_h0811_0010_0120",,
208110131,-1,3,"enemy_013L",20,20,60,"r_h0811_0010_0130",,
208110141,-1,3,"enemy_014M",20,20,60,"r_h0811_0010_0140",,
